Root,Meanings
lam , Negative   particle giving to the present the sense of the perfect; not.
Lam-Alif-Kaf   ," To send, to send a message, to send anyone towards.malak n.m (pl. malaikah), see also malak (Miim-Lam-Kaf)2:30, 2:31, 2:34, 2:98, 2:161, 2:177, 2:210, 2:248, 2:285, 3:18, 3:39, 3:42, 3:45, 3:80, 3:87, 3:124, 3:125, 4:97, 4:136, 4:166, 4:172, 6:93, 6:111, 6:158, 7:11, 8:9, 8:12, 8:50, 13:13, 13:23, 15:7, 15:8, 15:28, 15:30, 16:2, 16:28, 16:32, 16:33, 16:49, 17:40, 17:61, 17:92, 17:95, 18:50, 20:116, 21:103, 22:75, 23:24, 25:21, 25:22, 25:25, 33:43, 33:56, 34:40, 35:1, 37:150, 38:71, 38:73, 39:75, 41:14, 41:30, 42:5, 43:19, 43:53, 43:60, 42:27, 53:27, 66:4, 66:6, 70:4, 74:31, 78:38, 97:4"
Lam-Alif-Lam-Alif," To shine, glitter, blaze, be bright, pearl, a perfect/complete rejoicing.lu'lu n.m. (coll) 22:23, 35:33, 52:24, 55:22, 56:23, 76:19"
Lam-Ayn-Ba ," played/sported/gamed/jested/joked, passtime (in an unserious thing), engage in idle sport without meaning or purpose, slaver/drivel, stupid/fool.la'iba vb. (1)impf. act. 6:91, 7:98, 9:65, 12:12, 21:2, 43:83, 44:9, 52:12, 70:42n.vb. 5:57, 5:58, 6:32, 6:70, 7:51, 29:64, 47:36, 57:20pcple. act. 21:16, 21:55, 44:38LL, V7, p:189,190,191"
Lam-Ayn-Lam ,"   Perhaps; may be that; it is hoped; to be happy. It is used to denote either   a state of hope or fear, whether that state pertains to the speaker or to the addressee or to someone else, expectation.LL, V8, p:265"
Lam-Ayn-Nun ,"   To drive away, execrate, deprive one of mercy and blessings, condemn, curse.  The base or lower part of a palm-tree.la'ana vb. (I)perf. act.2:88, 4:46, 4:47, 4:52, 4:93, 4:118, 5:13, 5:60, 7:38, 9:68, 33:57, 33:64, 47:23, 48:6impf. act. 2:159, 2:159, 4:47, 4:52, 29:25impv. 33:68perf. pass. 5:64, 5:78, 24:23n.vb. 33:68pcple. act. 2:159pcple. pass. 17:60, 33:61 la'nah n.f. - 2:89, 2:161, 3:61, 3:87, 7:44, 11:18, 11:60, 11:99, 13:25, 15:35, 24:7, 28:42, 38:78, 40:52 LL, V8, p:265"
Lam-Ba-Ba ," To   be gifted with a penetrative mind, be kind hearted, tender/affectionate/compassionate,   remain/dwelt & kept to it, expert/clever, insightful, posessed of understanding/intellect,   mind.albab n.m. (plural of lubb) - 2:179, 2:197, 2:269, 3:7, 3:190, 5:100, 12:111,   13:19, 14:52, 38:29, 38:43, 39:9, 39:18, 39:21, 40:54, 65:10LL, V7, p:169,170,171,172"
Lam-Ba-Dal ,"   stuck/clave/adhered (to the ground/thing), remain fixed/steady and looked or   considered, remain/continue/dwelt/stay in a place, become intermingled/compacted/coherent,   make together, become felted, aquat, swarm, stifling crowd, that which is packed   densely, abundant/much.libad n.f. (plural of libdah) - 72:19,   lubad n.m. (adj.) - 90:6LL, V7, p:173,174"
Lam-Ba-Nun ," milklaban n.m. - 16:66, 47:15"
Lam-Ba-Siin ,"   To wear/cover, put on a garment, be clothed in, envelop, conceal, conformed,   cloak/disguise, that which is worn.  Obscure/confuse/confound, mystify, render a thing obscure and confused to another.  Employed/busied/occupied himself with/within a thing, become involved/entangled/complicated,   to mix/mingle/accompany a thing.labasa vb. (I)perf. act. 6:9impf. act. 2:42, 3:71, 6:65, 6:82,   6:137 labs n.vb - 50:15 labisa   vb. (I) - 16:14, 18:31, 35:12, 44:53 labus   n.m. - 21:80 libas n.m. - 2:187,   2:187, 7:26, 7:26, 7:27, 16:112, 22:23, 25:47, 35:33, 78:10]LL, V7, p:175,176"
Lam-Ba-Tha   ," to delay, tarry, sojourn, to pause/wait/expect/stop/remain, was patient.labitha vb. (I)perf. act. 2:259, 2:259, 2:259, 10:16, 11:69, 12:42, 17:52, 18:12, 18:19, 18:19, 18:19, 18:25, 18:26, 20:40, 20:103, 20:104, 23:112, 23:113, 23:114, 26:18, 29:14, 30:55, 30:56, 34:14, 37:144impf. act. 10:45, 17:76,   46:35, 79:46, 78:23talabbatha vb. (V) - perf. act. 33:14LL, V7, p:172,173"
Lam-Dal-Dal ,"   To hold an alteration with anyone, quarrel, contend violently, stubborn/rigid/contentious,   withhold, hinder.aladd n.m. (pl. ludd) - 2:204, 19:97LL, V7, p:184,185"
Lam-Dal-Nun ,   At; near; with; from; presence; in the presence of; for. Ladun: Particle of   a place or preposition.Ladai/Lida 
Lam-Fa ," To find   a thing or anyone.[alfaya (IV) dual 3rd person - 12:25, alfou   (IV) plural 3rd person 37:69, alfaina (IV)   1st person plural 2:170]"
Lam-Fa-Fa ," To   roll up, fold, wrap, involve, conjoin, be entangled (trees), be heaped, joined   thick/dense and luxuriant/abundant.[alfaf n.m. (pl. of liff) - 78:16, 17:104,   iltaffa vb. (VIII) - 75:29]75:29 is said to be an idiomatic phrase denoting the affliction is combined   with affliction, as the noun 'saq/shank/leg' is often used in the sense   of hardship/difficulty/distress in many Arabic phrases.LL, V8, p:265"
Lam-Fa-Ha ," To   burn/scorch/hurt/smite/strike.lafaha vb. (1) impf. act. 23:104LL, V7, p:194"
