Root,Meanings
Sad ," 38:1Lane's Lexicon, Volume 4, pages: 361"
Sad-Ayn-Dal ," to ascend, mount, run, move with quick steps faster than when walking, go up, be hard (affair). sa'adun - severe/vehement, overwhelmingly stern (punishment). sauudun - calamity, torment. as'ada (vb. 4) - to mount up. sa'iidan - soil, earth, surface of the earth, elevated land.saida vb. (1)impf. act. 35:10sa'ad n.m. (adj.) 72:17sa'id n.m. 4:43, 5:6, 18:8, 18:40sa'ud n.m. 74:17as'ada vb. (4)impf. act. 3:153tasa'ada vb. (5)impf. act. 6:125LL, V4, p:411,412,413"
Sad-Ayn-Qaf ," to smite or strike (lightning, thunderbolt), swoon, become unconscious, be stunned, faint. sa'iqun - one in a swoon. saa'iqatun (pl. sawaaiq) - stunning noise as of a thunderbolt, vehement cry, thunderbolt, thunderclap, destructive calamity, death, noise.sa'iqa vb. (1)perf. act. 39:68impf. pass. 52:45sa'iq n.m. 7:143sa'iqah n.f. (pl. sawa'iq) 2:19, 2:55, 4:153, 13:13, 41:13, 41:13, 41:17, 51:44LL, V4, p:414"
Sad-Ayn-Ra ," to turn (the face), have (the face) distorted. sa'ara (vb. 2) - to make wry face.sa'ara vb. (2)impf. act. neg. 31:18LL, V4, p:413,414"
Sad-Ba-Alif ," to change one's religion, lead (a troop), rise (star), touch, wish. saabii (pl. saabiuun) - the word refers to certain religious sects that were found in parts of Arabia and countries bordering it.2:62, 5:69, 22:17, 38:1?????"
Sad-Ba-Ayn ," to point out with the finger. asaabi - finger.asabi n.m. (pl. of isba) 2:19, 71:7LL, V4, p:370,371"
Sad-Ba-Ba ," to pour out, be poured out. sabbun - the act of pouring. sabban - the act of pouring heavily.sabba vb. (1)perf. act. 80:25, 89:13impv. 44:48impf. pass. 22:19n.vb. 80:25LL, V4, p:362,363,364"
Sad-Ba-Gh ," to dye, colour, baptize, dip, immerse, hue, assume the attribute, mode, mature, code of law, religion, nature.sibgh n.m. 23:20sibghah n.f. 2:138, 2:138LL, V4, p:371,372,373"
Sad-Ba-Ha ," to visit or greet in the morning. subhun/sabahun/isbaahun - the morning. misbaahun (pl. masaabih) - lamp. sabbah (vb. 2) - to come to, come upon, greet, drink in the morning. asbaha - to enter upon the time of the morning, appear, begin to do, to be, become, happen. musbih - one who does anything in or enters upon the morning.isbah n.m. 6:96misbah n.m. (pl. masabih) 24:35, 24:35, 41:12, 67:5sabah n.m. 37:177subh n.m. 11:81, 11:81, 74:34, 81:19, 100:3sabbaha vb. (2) perf. act. 54:38asbahah vb. (4)perf. act. 3:103, 5:30, 5:31, 5:53, 5:102, 7:78, 7:91, 11:67, 11:94, 18:42, 18:45, 26:157, 28:10, 28:18, 28:82, 29:37, 41:23, 46:25, 61:14, 67:30, 68:20impf. act. 5:52, 18:40, 18:41, 22:63, 23:40, 30:17, 49:6pcple. act. 15:66, 15:83, 37:137, 68:17, 68:17LL, V4, p:364,365,366,367"
Sad-Ba-Ra ," to bind, be patient or constant, endure patiently, steadily adhere to reason and command, restrain from what reason and law forbid, restrain from manifesting grief, agitation and impatience. The word being the contrary of jaz'a (manifestation of grief and agitation).sabara vb. (1)perf. act. 6:34, 7:137, 11:11, 13:22, 13:24, 14:21, 16:42, 16:96, 16:110, 16:126, 23:111, 25:42, 25:75, 28:54, 29:59, 32:24, 41:35, 42:43, 46:35, 49:5, 76:12impf. act. 2:61, 3:120, 3:125, 3:186, 4:25, 12:90, 14:12, 18:68, 25:20, 41:24, 52:16n.vb. 3:200, 7:87, 7:128, 8:46, 10:109, 11:49, 11:115, 16:127, 18:28, 20:130, 30:60, 31:17, 38:6, 38:17, 40:55, 40:77, 46:35, 50:39, 52:16, 52:48, 68:48, 70:5, 73:10, 74:7, 76:24, 2:45, 2:153, 2:250, 7:126, 12:18, 12:83, 16:127, 18:67, 18:72, 18:75, 18:78, 18:82, 70:5, 90:17, 103:3pcple. act. 2:153, 2:155, 2:175, 2:177, 2:249, 3:17, 3:142, 3:146, 8:46, 8:65, 8:66, 8:66, 16:126, 18:69, 21:85, 22:35, 28:80, 33:35, 33:35, 37:102, 38:44, 39:10, 47:31sabbar n.m. 14:5, 31:31, 34:19, 42:33sabara vb. (3) impv. 3:200istabara vb. (8) impv. 19:65, 20:132, 54:27LL, V4, p:367,368,369,370"
Sad-Ba-Ya ," to be inclined, yearn, long for, have child-like propensities, feel a youthful propensity. sabiyyan - boy/lad/male, child, young boy.saba vb. (1) impf. act. 12:33sabiyyan n.m. 19:12, 19:29LL, V4, p:373,374,375"
Sad-Dal-Ayn ," to split, expound, cleave, profess openly, divide, cross, proclaim, promulgate aloud, declare openly, be affected with headache, manifest, make clear. sad'un - fissure. suddi'a - to oppress with or suffer from headache. issada'a (vb. 5) - to be split up or divided. mutasaddiun - that which is cloven or splits in two. sada'a vb. (1)impv. 15:94n.vb. 86:12sadda'a vb. (2) impf. pass. 56:19tasadda'a vb. (5)impf. act. 30:43pcple. act. 59:21LL, V4, p:387,388"
Sad-Dal-Dal ," to turn away, divert, hinder, avert. sadiidan - to shun a thing, shrink from, raise, clamour, shout, cry aloud. saddun - the act of hindering, diverting or turning away. sadiid - anything that is repulsive, hot or boiling water.sadda vb. (1)perf. act. 4:55, 4:167, 5:2, 9:9, 16:88, 16:94, 27:24, 27:43, 29:38, 34:32, 47:1, 47:32, 47:34, 48:25, 58:16, 63:2impf. act. 3:99, 4:61, 5:91, 7:45, 7:86, 8:34, 8:36, 8:47, 9:34, 11:19, 14:3, 14:10, 20:16, 22:25, 28:87, 34:43, 43:37, 43:57, 43:62, 63:5perf. pass. 13:33, 40:37n.vb. (1) 2:217, 4:160n.vb. (2) 4:61sadid n.m. 14:16LL, V4, p:382,383"
Sad-Dal-Fa ," to turn away, shun aside, hinder, prevent, bar, prohibit. sadaf - barrier, obstacle, obstruction, hindrance, restriction, prevention, interruption, limitation, prohibition, check, steep side of a mountain.sadafa vb. (1)perf. act. 6:157impf. act. 6:46, 6:157, 6:157sadaf n.m. 18:96LL, V4, p:389,390"
Sad-Dal-Qaf ," to be truthful, true, sincere, speak the truth, establish or confirm the truth of what another has said, verify, keep faith, observe a promise faithfully, fulfill, speak veraciously, hold anyone as trustworthy. sadaqa fi al-qitaali - to fight gallantly. tsaddaqa - to give alms. sidqun - truth, veracity, sincerity, soundness, excellence in a variety of different objects, salubrious and agreeable, favourable entrance, praise. saadiqun - one who is true and sincere, one who speaks the truth. saadiqah - perfect woman. sadaqat (pl. saduqaat) - dowry. siddiiq - person who is trustworthy, sincere. saddaqa - to confirm, verify, fulfil. asdaqu - more true.sadaqa vb. (1)perf. act. 2:177, 3:95, 3:152, 5:113, 9:43, 12:26, 21:9, 27:27, 29:3, 33:22, 33:23, 36:52, 39:74, 47:21, 48:27n.vb. 5:119, 6:115, 10:2, 10:93, 17:80, 17:80, 19:50, 26:84, 33:8, 33:24, 39:32, 39:33, 46:16, 54:55pcple. act. 2:23, 2:31, 2:94, 2:111, 3:17, 3:93, 3:168, 3:183, 4:87, 4:122, 5:119, 6:40, 6:143, 6:146, 7:70, 7:106, 7:194, 9:119, 10:38, 10:48, 11:13, 11:32, 12:17, 12:27, 12:51, 12:82, 15:7, 15:64, 19:54, 21:38, 24:6, 24:9, 26:31, 26:154, 26:187, 27:49, 27:64, 27:71, 28:49, 29:29, 32:28, 33:8, 33:24, 33:35, 33:35, 34:29, 36:48, 37:157, 40:28, 44:36, 45:25, 46:4, 46:22, 49:15, 49:17, 51:5, 52:34, 56:87, 59:8, 62:6, 67:25, 68:41sadaqah n.f. 2:196, 2:263, 2:264, 2:271, 2:276, 4:114, 9:58, 9:60, 9:79, 9:103, 9:104, 58:12, 58:13sadiq n.m. 24:61, 26:101saduqat n.f. (pl. of saduqah) 4:4siddiq n.m. 4:69, 5:75, 12:46, 19:41, 19:56, 57:19saddaqa vb. (2)perf. act. 34:20, 37:37, 37:105, 39:33, 66:12, 75:31, 92:6impf. act. 28:34, 56:57, 70:26n.vb. 10:37, 12:111pcple. act. 2:41, 2:89, 2:91, 2:97, 2:101, 3:3, 3:39, 3:50, 3:81, 4:47, 5:46, 5:46, 5:48, 6:92, 35:31, 37:52, 46:12, 46:30, 61:6tasaddaqa vb. (5)perf. act. 2:280, 5:45impf. act. 4:92, 9:75impv. 63:10, 12:88pcple. act. 12:88, 33:35, 33:35, 57:18, 57:18LL, V4, p:390,391,392,393"
Sad-Dal-Ra ,"  To return from, come back, proceed, issue or emanate from, go forward, advance   or promote, come to pass, happen, emanate from, strike on the chest/breast,   commence. Anything that fronts, or faces one; hence breast, chest or bosom [often   meaning his mind]. The fore part of anything. Going, or turning back and away.sadr - heart/breast/chest, mind, prominent place.sadara vb. (1) impf. act. 99:6sadr n.m. (pl. sudur)3:29, 3:118, 3:119, 3:154, 3:154, 4:90, 5:7, 6:125, 6:125, 7:2, 7:43, 8:43, 9:14, 10:57, 11:5, 11:5, 11:12, 15:47, 15:97, 16:106, 17:51, 20:25, 22:46, 26:13, 27:74, 28:69, 29:10, 29:49, 31:23, 35:38, 39:7, 39:22, 40:19, 40:56, 40:80, 42:24, 57:6, 59:9, 59:13, 64:4, 67:13, 94:1, 100:10, 114:5asdara vb. (4) impf. act. 28:23LL, V4, p:384,385,386,387"
Sad-Dal-Ya ," to clap the hands, receive with honour, applaud, pay attention, address, direct one's regard or attention or mind, incline.sadda vb. (2) n.vb. 8:35tasadda vb. (5) impf. act. 80:6LL, V4, p:394,395"
Sad-Fa-Dal ," to bind, fetter, chains, favour or gift bestowed on someone because it binds the receiver to the giver.asfad n.m. (pl. of safad) 14:49, 38:38LL, V4, p:420,421"
Sad-Fa-Fa ," evenly,   side by side, laid out, a rank/row/line, in order, with reference to a bird: extend its   wings in a line, expand/spread its wings (i.e. not flapping).saffa vb. (1)pcple. act. 22:36, 24:42, 37:1, 37:165, 67:19pcple. pass. f. 52:20, 88:15saff n.m. 18:48, 20:64, 37:1, 61:4, 78:38, 89:22, 89:22LL, V4, p:417,418"
Sad-Fa-Ha ," to pardon/forgive/overlook, avoid, turn one's self away, repel, put out, go off. safhun - pardon. safhan - turning away, avoidance.safaha vb. (1)impf. act. 24:22, 64:14impv. 2:109, 5:13, 15:85, 43:89n.vb. 15:85, 43:5LL, V4, p:418,419,420"
Sad-Fa-Nun ," to stand on three feet (as a horse). safinaat - horses standing on three feet, well-bred coursing horses.safana vb. (1) pcple. act. f. 38:31LL, V4, p:426,427"
Sad-Fa-Ra ," to dye or paint yellow. safraa'un (f. of asfaru, pl. sufrun) - yellow, tawny. musfarun (vb. 9) - that which is or becomes yellow and pale.safra n.f. (adj. pl. sufr) 2:69, 77:33isfarra vb. (9) pcple. pass. 30:51, 39:21, 57:20LL, V4, p:421,422,423"
Sad-Fa-Sad-Fa ," gurd, level plain.safsaf n.m. acc. (adj.) 20:106LL, V4, p:418"
Sad-Fa-Waw ,"   it became clear/limpid/pure (often said of a drink), opposite of Kaf-Dal-Ra,   free from turbidness/thickness/muddiness, free from admixture, became cloudless   (said of air/atmosphere, but also said of love/life/mind/heart), clear/pure/best/choice/favoured   part/potion, clear/clarify, true/sincere, distinguish particularly/specially,   select/elect/prefer, serenity of life, comfort, reciprocal sincerity/purity.  take the best of, to choose in preference to, grant to another a preference   in the choice of anything.  abound with milk (said of a she-camel/ewe/goat/sheep), palm-tree heavy with   fruit,   reached stone (said of a digger).  the portion of the spoil, which the chief/commander chooses for himself before   the division.  become destitute/devoid.  stone, smooth stone/rock, stone that doesn't give growth to anything, hard broad   stone, a certain place in Mekkeh.safa - n.   2:158safwan - n.m. 2:264saffa vb. (II) - 47:15asfa vb. (IV) - 17:40, 43:16istafa vb. (VIII) - perf. act. 2:130, 2:132, 2:247, 3:33, 3:42, 7:144,   27:59, 35:32, 37:153, 39:4, impf. act. 22:75, pcple. pass. 38:47.LL, V4, p:427,428"
Sad-Gh-Ra ," to be small/little. saaghirun - one who is small/little/subdued/abject or in a state of subjection. saghiir - small. asghar - smaller. saghaar - vileness, contempt, humiliation.saghara vb. (1) pcple. act. 7:13, 7:119, 9:29, 12:32, 27:37saghar n.m. 6:124saghir n.m. (adj. comp. asghar) 2:282, 9:121, 10:61, 17:24, 18:49, 34:3, 54:53LL, V4, p:415,416"
Sad-Gh-Ya ," to incline, lean, pay attention, give ear, hearken.saghiya vb. (1)perf. act. 66:4impf. act. 6:113LL, V4, p:416,417"
Sad-ha-Ra ,"sahara vb. (1) impf. pass. 22:20sihr n.m. 25:54LL, V4, p:462,463"
Sad-Ha-Ba ," to company, associate, be the friend of or companion to. saahibun (pl. sahbuun and ashaabun) - companion, associate, possessor of any quality or thing, one in an intimate relation with anything, fellow and showing any type of connection or link, helper. saahibatun - spouse, consort, wife. saahaba - to bear company. ashaba (vb. 4) -to preserve, hinder, keep from, defend from. yushabuun - they will be accompanied.sahib n.m. (pl. ashab) 2:39, 2:81, 2:82, 2:119, 2:217, 2:257, 2:275, 3:116, 4:36, 4:47, 5:10, 5:29, 5:86, 6:71, 6:101, 7:36, 7:42, 7:44, 7:44, 7:46, 7:47, 7:48, 7:50, 7:50, 7:184, 9:40, 9:70, 9:113, 10:26, 10:27, 11:23, 12:39, 12:41, 13:5, 15:78, 15:80, 18:9, 18:34, 18:37, 20:135, 22:44, 22:51, 25:24, 25:38, 26:61, 26:176, 29:15, 34:46, 35:6, 36:13, 36:55, 38:13, 39:8, 40:6, 40:43, 46:14, 46:16, 50:12, 50:14, 51:59, 53:2, 54:29, 56:8, 56:8, 56:9, 56:9, 56:27, 56:27, 56:38, 56:41, 56:41, 56:90, 56:91, 57:19, 58:17, 59:20, 59:20, 59:20, 60:13, 64:10, 67:10, 67:11, 68:17, 68:48, 70:12, 72:3, 74:31, 74:39, 80:36, 81:22, 85:4, 90:18, 90:19, 105:1sahaba vb. (3)impf. act. 18:76impv. 31:15ashaba vb. (4) impf. pass. 21:43LL, V4, p:376,377"
Sad-Ha-Fa ," to write or read, dig. sahfatun (pl. sihaaf) - hollow, large dish. sahiifa - surface of the earth. sahiifatun (pl. suhuf) - heap of a book.sihaf n.f. (pl. of sahfah) 43:71suhuf n.f. (pl. of sahifah) 20:133, 53:36, 74:52, 80:13, 81:10, 87:18, 87:19, 98:2LL, V4, p:378,379"
Sad-Kaf-Kaf ," to strike upon, smite, slap.sakka vb. (1) 3rd. perf. act. f. sing. 51:29LL, V4, p:432,433"
