Root,Meanings
Shiin-Alif-Miim ," to draw ill, cause dismay, be struck with wretchedness and contempt. shu'mun - wretchedness, contempt, calamity, unrighteousness. ashab al mash'amah - the wretched ones, those who have lost themselves in evil and are prone to unrighteousness.mash'amah n.f. 56:9, 56:9, 90:19Lane's Lexicon, Volume 4, pages: 214, 215"
Shiin-Alif-Nun ," to pursue an aim, perform a thing well, know care for, matter/business/thing/affair/state/condition/concern, natural, propensity, way, state of glory.sha'n n.m. 10:61, 24:62, 55:29, 80:37LL, V4, p: 215, 216"
Shiin-Ayn-Ba ," to separate, collect, appear, scatter, repair, impair, send (a message to), branch off. shu'ub (pl. of sha'bun) - large tribe, nation, collection. shu'abin (pl. of shu'batun) - twigs or branches of a tree, space between two branches, portion. shu'ayb - name of a prophet sent to the Midianites.shu'ab n.f. (pl. of shubah) 77:30shu'ayb n.prop. 7:85, 7:88, 7:90, 7:92, 7:92, 11:84, 11:87, 11:91, 11:94, 26:177, 29:36shu'ub n.m. (pl. of sha'b) 49:13LL, V4, p:279,280,281,282"
Shiin-Ayn-Lam ," to kindle, light (fire). ishta'ala (vb. 8) - to be lighted, become shining and inflamed. ishta'ala shayban - to become hoary, glisten with grey hairs.ishta'ala vb. (8) perf. act. 19:4LL, V4, p:287,288"
Shiin-Ayn-Ra," to know/perceive/understand, to acquaint, perceive by senses.  make verses, remark, poetry, poet, verse, art of poetry, feeling, knowledge.  Sirius, which was worshipped by the Arabs in Pagan times.  mark/marker/signs/rites/symbols/observances/ceremonies/practices, the obligatory   ordinances/statutes of God.  a place where a thing is known to be.  measure of length.  sheep/goat.  hair, innermost garment.  trees.  a sign of people in war and in a journey, a call or cry by means of which to   know another, banner.mash'ar al-Haram - holy mosque in Muadhalifah (a place which lies   between Makkah and Arafat, six miles from Kabah). The name   Mash'ar al-Haram is a compound of Mash'ar meaning the place of   perception or knowledge and Haram meaning sacred. Ash'ara to make   anyone understand, make known to.sha'ara   vb. (I) - 2:9, 2:12, 2:154, 3:69, 6:26, 6:123, 7:95, 12:15, 12:107, 16:21, 16:26,   16:45, 23:56, 26:113, 26:202, 27:18, 27:50, 27:65, 28:9, 28:11, 29:53, 39:25,   39:55, 43:66, 49:2,ash'ar n.m. (pl. of sha'r) - 16:80,mash'ar n.m. - 2:198,sha'air n.f. (pl. of shi'arah) - 2:158, 5:2, 22:32, 22:36,sha'ir n.m. (pl. shu'ara) - 2:158, 5:2, 22:32, 22:36,sha'ir n.m. (pl. shu'ara) - 21:5, 26:224, 37:36, 52:30, 69:41,shi'r n.m. - 36:69,shi'ra n. prop. - 53:49,ash'ara vb. (IV) - 6:109, 18:19LL, V4, p:283,284,285,286"
Shiin-Ba-ha ,"   to be like, to resemble/assimilate/liken/imitate, to compare one thing with   another due to an attribute connecting them or is common to them: can be real   or ideal - real: ""this dollar is like this dollar"" ideal: ""John   is like the lion/ass (i.e. strength/stupidity)"", appear like another thing,   ambiguous/dubious/obscure, comparison/similitude/parable/simile, co similar,   resemble (in quality or attributes), conformable.  With reference to the Quran is that of which the meaning is not be learned   from its words and this is of two sorts: one is that of which the meaning is   known by referring to what is termed ""muhkam"" and the other   is that of which the knowledge of its real meaning is not attainable in any   way or it means what is not understood without repeated consideration. (e.g.   3:7)shabbaha vb. (2) perf. pass. 4:157tashabaha vb. (6) perf. act. 2:70, 2:118, 3:7, 13:16pcple. act. 2:25, 3:7, 6:99, 6:141, 6:141, 39:23ishtabaha vb. (8) pcple. act. 6:99LL, V4, p: 223, 224, 225"
Shiin-Dal-Dal ," to bind tightly, strap, strengthen firmly, run, establish, make firm, hard, strong, be advanced (day), be intense. ushdud - harden, strengthen. shadiid (pl. shidaad & ashidda'u - great, firm, strict, vehement, strong, violent, severe, mighty, terrible, stern, grievous, miserly, niggardly. (adj. of the forms fa'iil and fiaal are used indifferently for both m. and f.): ashuddun: age of full strength, maturity. ishtadda (vb. 8) - to act with violence, become hard.shadda vb. (1)perf. act. 38:20, 76:28impf. act. 28:35impv. 10:88, 20:31, 47:4ashudd n.m. 6:152, 12:22, 17:34, 18:82, 22:5, 28:14, 40:67, 46:15shadid n.m. (adj. pl. ashidda and shidad) 2:74, 2:85, 2:165, 2:165, 2:191, 2:196, 2:200, 2:211, 3:4, 3:11, 3:56, 4:66, 4:77, 4:84, 4:84, 5:2, 5:82, 5:98, 6:124, 7:164, 8:13, 8:25, 8:48, 8:52, 9:69, 9:81, 9:97, 10:70, 11:80, 11:102, 12:48, 13:6, 13:13, 14:2, 14:7, 17:5, 17:58, 18:2, 19:69, 20:71, 20:127, 22:2, 23:77, 27:21, 27:33, 28:78, 30:9, 33:11, 34:46, 35:7, 35:10, 35:44, 37:11, 38:26, 40:3, 40:21, 40:22, 40:46, 40:82, 41:15, 41:15, 41:27, 42:16, 42:26, 43:8, 47:13, 48:16, 48:29, 50:26, 50:36, 53:5, 57:20, 57:25, 58:15, 59:4, 59:7, 59:13, 59:14, 65:8, 65:10, 66:6, 72:8, 73:6, 78:12, 79:27, 85:12, 100:8ishtadda vb. (8) perf. act. 14:18LL, V4, p: 241, 242, 243"
Shiin-Fa-Ayn ," to make even that which was odd, make double, pair, make a thing to be one of the pair, adjoin a thing to its like, provide a thing which was alone with another, protect, mediate, intercede, be an intercessor. shaf'un - pair, double. shafa'at - likeness/similarity, intercede or pray for a person.shafa'a vb. (1)impf. act. 2:255, 4:85, 4:85, 7:53, 21:28n.vb.f. 2:48, 2:123, 2:254, 4:85, 4:85, 19:87, 20:109, 34:23, 36:23, 39:44, 43:86, 53:26, 74:48pcple. act. 26:100, 74:48shaf n.m. 89:3shafi n.m. (pl. shufa'a) 6:51, 6:70, 6:94, 7:53, 10:3, 10:18, 30:13, 32:4, 39:43, 40:18LL, V4, p:295,296,297"
Shiin-Fa-ha ," to strike on the lips, lip.shafah n.f. dual. 90:9LL, V4, p:298"
Shiin-Fa-Qaf," to pity, be anxious about, fear. shafaq - fear, pity, evening, twilight with its redness or whiteness, after sunset. ashfaqa - to be afraid. mushfiqun - one who is afraid or is in terror, compassionate, fearful one, tender. shafaq n.m. 84:16ashfaqa vb. (4)perf. act. 33:72, 58:13pcple. act. 18:49, 21:28, 21:49, 23:57, 42:18, 42:22, 52:26, 70:27LL, V4, p:297,298"
