Root,Meanings
Ta-Ayn-Siin ," he fell having stumbled, he fell upon his face, become lowered/degraded, perish, become far removed, render unhappy, destroy.taAAs n.m. - 47:8Lane's Lexicon, Volume 1, pages:344,345"
Ta-Ba-Ayn ," follow/went or walked behind/after, overtook, pursue/investigate/examine/hunt, sought/reach/obtain it, prosecute/sue (for right/due or blood-revenge), succession of one to another, consecutive/successive, follower, imitator, continue the same course, aid/assist/help, come with, obey, desire/demand.An appelation of each of the Kings of El-Yemen who posessed Himyer and Hadramowt, so called because they followed one another when one died, another took his place, followed him in his course of acting. It is said in a tradition to mean a particular King who was a believer, whose people were unbelievers. [44:37, 50:14]tabi'a vb. (I)perf. act. 2:38, 2:145, 3:73, 7:18,14:36, 17:63, 38:85impf. act. 2:263, 79:7pcple. act. 2:145, 2:145, 24:31taba n.m. 14:21, 40:47tabi n.m. 17:69tubba n.prop. 44:37, 50:145atba'a vb. (IV)perf. act. 7:175, 10:90, 15:18, 18:85, 18:89, 18:92, 20:78, 23:44, 26:60, 28:42, 37:10impf. act. 2:262, 77:17,perf. pass. 11:60, 11:99tataba'a vb. (VI) - 4:92, 58:4ittaba'a vb. (VIII)perf. act. 2:102, 2:120, 2:145, 2:166, 2:167, 3:20, 3:53, 3:55, 3:68, 3:162, 3:167, 3:174, 4:83, 4:125, 5:16, 7:90, 7:157, 7:176, 8:64, 9:42, 9:100, 9:117, 11:27, 11:59, 11:97, 11:116, , 12:38, 12:108, 13:37, 15:42, 18:28, 18:70, 19:59, 20:16, 20:47, 20:123, 23:71, 26:111, 26:215, 28:35, 28:50, 30:29, 34:20, 36:11, 40:7, 47:3, 47:3, 47:14, 47:16, 47:28, 52:21, 54:3, 57:27, 71:21impf. act. 2:120, 2:143, 2:168, 2:170, 2:208, 3:7, 4:27, 4:115, 4:135, 5:48, 5:49, 5:77, 6:50, 6:56, 6:116, 6:142, 6:148, 6:150, 6:153, 7:3, 7:142, 7:157, 7:193, 7:302, 10:15, 10:36, 10:66, 10:66, 10:89, 14:44, 17:47, 18:66, 20:93, 20:108, 20:134, 22:3, 24:21, 24:21, 25:8, 26:40, 26:224, 28:47, 28:49, 28:50, 28:57, 31:21, 38:26, 39:18, 42:15, 45:18, 46:9, 48:15, 48:15, 53:23, 53:28, 54:24impv. 2:170, 3:31, 3:95, 6:106, 6:153, 6:155, 7:3, 7:158, 10:109, 15:65, 16:123, 19:43, 20:90, 29:12, 31:15, 31:21, 33:2, 36:20, 36:21, 39:55, 40:38, 43:61, 45:18, 75:18perf. pass. 2:166impf. pass. 10:35n.vb. 2:178, 4:157pcple. pass. 26:52, 44:23Lane's Lexicon, Volume 1, pages:330,331,332,333"
Ta-Ba-Ba ," suffer loss, diminution, become beaten/trodden/lost, become old, perished, perdition, death, weakened/impaired, to cut-off, curtail, be doomed, destruction/loss/ruin.tabba vb. (I) - perf. act. 111:1, 111:1n.vb.40:37tabbaba vb. (II) - n.vb. 11:101Lane's Lexicon, Volume 1, page:330"
Ta-Ba-Ra ," To break/destroy/ruin/perish/lose/smash/crumble, perdition/destruction.tabar n.m.71:28tabbara vb. (2) perf. act.25:39impf. act.17:7n.vb.17:7, 25:39pcple. pass.7:139Lane's Lexicon, Volume 1, page:330"
Ta-Ba-Ta ," coffin, wooden case, chest, box, breast with what it contains, heart which is the storehouse of knowledge, wisdom and peace, Ark (of the Covenant).tabut n.m. 2:248, 20:39Lane's Lexicon, Volume 1, page:330"
Ta-Fa-Tha ," to leave off the care of one's body and comforts, self-neglect, unkemptness, uncleanness, altered, perform and complete the acts of worship in combat and imposed.The state of self-denial, acts of worship, needful rituals regarding the cleansing and care of one's body and comfort.tafath n.m. - 22:29Lane's Lexicon, Volume 1, page:345"
Ta-Ha-Ta (taht) ," Particle: that which is below; the lower part; beneath; inferior, slop; declivity of a mountain; under. It is the opposite of fawq/above.This particle has been used about 51 times in al quran.Lane's Lexicon, Volume 1, page:335"
Ta-Jiim-Ra ," to traffic/trade, be in business, commerce, merchandise, dealt, sold & bought, employed property for the purpose of gain.tijarah n.f. 2:16, 2:282,4:29,9:24, 24:37, 35:29, 61:10, 62:11, 62:11Lane's Lexicon, Volume 1, pages:334,335"
Ta-Kha-Thaal  ," took, receive, took hold, act of taking, aid/assist, prevent/restrain/witheld/captivate/fascinate, gain/earn/accept/acquire, retain/detain, overcame/overpowered/subdued, seize, affect/influence, gain mastery over / slay / kill, destroy/punish/exterminate, took to / commenced / began, a benefit/favour, he made/constituted/appointed, a way or manner of life, a thing taken.Lane's Lexicon, Volume 1, page:335"
Ta-Lam-Kaf (tilka) ," This; that.Lane's Lexicon, Volume 1, page:350, refers to 328 & 329"
Ta-Lam-Lam  ," To lay down, let down, threw down, drop, lay prostrate, lay one down upon one's kin, neck, cheek, or breast.Shake, move, agitate, put in state of motion or commotion, rough/severe/vehement.Sluggish, laziness.Charge, upbraid, deliver.talla vb. (I) perf. act. 37:103Lane's Lexicon, Volume 1, pages:347,348"
Ta-Lam-Waw ," To follow, walk behind, imitate, pursue, consecutive. To read, recite, peruse, rehearse, declare, meditate.Sought repeatedly, collect.Bond or obligation.One who relieves or aids another in singing.tala vb. (I)perf. act. 10:16, 91:2impf. act. 2:44, 2:102, 2:113, 2:121, 2:129, 2:151, 2:252, 3:58, 3:108, 3:113, 3:164, 6:151, 10:61, 11:17, 13:30, 18:83, 22:72, 27:92, 28:3, 28:45, 28:59, 29:48, 35:29, 39:71, 45:6, 62:2, 65:11, 98:2impv. 3:93, 5:27, 7:175, 10:71, 18:27, 26:69, 29:45perf. pass. 8:2impf. pass. 3:101, 4:127, 5:1, 8:31, 10:15, 17:107, 19:58, 19:73, 22:30, 22:72, 23:66, 23:105, 28:53, 29:51, 31:7, 33:34, 34:43, 45:8, 45:25, 45:31, 46:7, 68:15, 83:13n.vb. 2:121pcple. act. f. (taliyat pl. of taliyah) 37:3Lane's Lexicon, Volume 1, pages:350,351,352"
Ta-Miim-Miim ," To be entire/full/whole, blossom, full-grown, complete, perfect, fulfilled, accomplish.Strong, firm, hard.tamma vb. (I)perf. act. 6:115, 7:137, 7:142, 11:119n.vb. 6:154 atamma vb. (IV)perf. act. 2:124, 5:3, 7:142, 12:6, 28:27impf. act. 2:150, 2:233, 5:6, 9:32, 12:6, 16:81, 48:2impv. 2:187, 2:196, 9:4, 66:8pcple. act. 61:8Lane's Lexicon, Volume 1, pages:352,353,354"
Ta-Nun-Ra (tannur) ," Spring; ground; face of the earth. Highest part of the earth; place where the water of a valley collects; a circular earthen oven, furnace, fire-place. Shining of dawn.tannur n.m. 11:40, 23:27Lane's Lexicon, Volume 1, pages:355,356"
