Root,Meanings
Ya-Alif-Siin ," to despair, desperate, to give up hope, to know.ya'isa vb. (I) perf. act. 5:3, 29:23, 60:13, 65:4impf. act. 12:87, 12:87, 13:31ya'us n.m. (adj.) 11:9, 17:83, 41:49istay'asa vb. (10) 12:80, 12:110Lane's Lexicon, Volume 8, page:227,228"
Ya-Ayn-Qaf (Ayn-Waw-Qaf) ," name of an idol worshipped before the Flood, and then by the Pagan Arabs. It was in the shape of a horse. Banu Hamadan were its worshippers.M. Asad: As is evident from early sources, these five gods were among the many worshipped by the pre-Islamic Arabs as well (see the book Kitab al-Asnam by Hisham ibn Muhammad al-Kalbi, ed. Ahmad Zaki, Cairo, 1914) Their cult had probably been introduced into Arabia from Syria and Babylonia, where it seems to have existed in early antiquity.ya'uq n. prop. 71:23Lane's Lexicon, Volume 5, page:484 (end of page),485"
Ya-Ayn-Qaf-Ba ," Jacob; Israel, son of Isaac, the son of Abraham.yaAAqoob n.prop. 2:132, 2:133, 2:136, 2:140, 3:84, 4:163, 6:84, 11:71, 12:6, 12:38, 12:68, 19:6, 19:49, 21:72, 29:27, 38:45"
Ya-Ba-Siin ," withered, dry.yabisa vb. (1) pcple. act. 6:59, 12:43, 12:46yabas n.m. 20:77Lane's Lexicon, Volume 8, page:228,229"
Ya-Dal-Ya," to touch, aid, do good, be beneficent, show power and superiority, a hand. By his agency/means.With a willing hand, out of hand, having financial ability.In acknowledgement of the superior power, in ready money and not in the form of deferred payment, considering it as a favour, on account of help, (payment should be made by the hand of the parties themselves without the intervention of a third party and without reluctance.baina yadaihi - before him, in his presence hit, between his two hands.ulill aidi - men of power (lit. gifted with hands)suqaita fi aidihim (idiomatic expression) they repented, the idea seems to be that they hit their fingers in grief and contrition.Handy, Might, Power, Superiority, Benefit, Possession, Favour, Generosity. The idea behind those expressions is that the use of the hand is the real source of the superiority and power. Under his authority, upper hand, arm, foreleg of a beast, handle of a tool, wing of a bird.ma qaddamat yada - that is what thou hast deserved.yad n.f. (dual yadan, plural aydi) 2:66, 2:79, 2:79, 2:95, 2:97, 2:195, 2:237, 2:249, 2:255, 3:3, 3:26, 3:50, 3:73, 3:182, 4:43, 4:62, 4:77, 4:91, 5:6, 5:11, 5:11, 5:28, 5:28, 5:33, 5:38, 5:46, 5:46, 5:48, 5:64, 5:64, 5:64, 5:94, 6:7, 6:92, 6:93, 7:17, 7:57, 7:108, 7:124, 7:149, 7:195, 8:51, 8:70, 9:14, 9:29, 9:52, 9:67, 10:37, 11:70, 12:31, 12:50, 12:111, 13:11, 14:9, 17:29, 18:57, 19:64, 20:22, 20:71, 20:110, 21:28, 22:10, 22:76, 23:88, 24:24, 24:40, 25:27, 25:48, 26:33, 26:49, 27:12, 27:63, 28:32, 28:47, 30:36, 30:41, 34:9, 34:12, 34:31, 34:46, 35:31, 36:9, 36:35, 36:45, 36:65, 36:71, 36:83, 38:44, 38:75, 41:14, 41:25, 41:42, 42:30, 42:48, 46:21, 46:30, 48:10, 48:10, 48:20, 48:24, 48:24, 49:1, 57:12, 57:29, 58:12, 58:13, 59:2, 59:2, 60:2, 60:12, 61:6, 62:7, 66:8, 67:1, 72:27, 78:40, 80:15, 111:1Lane's Lexicon, Volume 8, page:317 (Ya-Dal)Ya-Gh-Waw-Tha "
Ya-Jiim-Jiim ," Gog. Name of the tribes of barbarians near the Caspian sea.M. Asad: Vague references to them in the Bible (Genesis x, 2, I Chronicles i, 5, Ezekiel 38, 2 and 39, 6, Revelation of St. John 20, 8). Most of the post-classical commentators identify these tribes with the Mongols and Tatars.yajuj n.prop. 18:94, 21:96"
Ya-Miim-Miim ," sea, river, to aim at getting, to intend, to have recourse to, to resort to, to head for.yamm n.m. 7:136, 20:39, 20:39, 20:78, 20:97, 28:7, 28:40, 51:40tayammama vb. (5) impf. act. 2:267impv. 4:43, 5:6Lane's Lexicon, Volume 8, page:318"
Ya-Miim-Nun ," right side, right, right hand, oath.ayman n.m. 19:52, 20:80, 28:30maymanah n.f. 56:8, 56:8, 90:18yamin n.f. (pl. ayman) 2:224, 2:225, 3:77, 4:3, 4:24, 4:25, 4:33, 4:36, 5:53, 5:89, 5:89, 5:89, 5:89, 5:108, 5:108, 6:109, 7:17, 9:12, 9:12, 9:13, 16:38, 16:48, 16:71, 16:91, 16:92, 16:94, 17:71, 18:17, 18:18, 20:17, 20:69, 23:6, 24:31, 24:33, 24:53, 24:58, 29:48, 30:28, 33:50, 33:50, 33:52, 33:55, 34:15, 35:42, 37:28, 37:93, 39:67, 50:17, 56:27, 56:27, 56:38, 56:90, 56:91, 57:12, 58:16, 63:2, 66:2, 66:8, 68:39, 69:19, 69:45, 70:30, 70:37, 74:39, 84:7Lane's Lexicon, Volume 8, page:318"
Ya-Nun-Ayn ," to be ripe, reach maturity.yanAA vb. (1) n.vb. 6:99"
Ya-Qaf-Nun ," certainty, surely, of a certainty, to be sure/certain, to ascertain, one who is certain.yaqin n.m. 4:157, 15:99, 27:22, 56:95, 69:51, 74:47, 102:5, 102:7ayqana vb. (4) impf. act. 2:4, 2:118, 5:50, 13:2, 27:3, 27:82, 30:60, 31:4, 32:24, 45:4, 45:20, 52:36pcple. act. 6:75, 26:24, 32:12, 44:7, 51:20istayqana vb. (10) perf. act. 27:14impf. act. 74:31pcple. act. 45:32Lane's Lexicon, Volume 8, page:317,318"
Ya-Qaf-Ta ," rubies, gems.yaqut n.m. (collective) 55:58Lane's Lexicon, Volume 8, page:233"
Ya-Qaf-Za ," awakeayqaz n.m. (pl. of yaquz) 18:18Lane's Lexicon, Volume 8, page:233"
Ya-Siin, O perfect man! O perfect leader!36:1
Ya-Siin-Ayn ," Elisha, he was a disciple and successor of Elijah (Ilyas) and lived from 938 B.C to 828 B.C in the northern Israel during the reign of Ahziah.alyasAA n. prop. 6:86, 38:48"
Ya-Siin-Fa ," Jopeph, a prophet, the eleventh son of the prophet Jacob, and the elder of the two sons of Rachel. The meaning given to the name is 'shall add' or the Lord shall add to me another son (Gen, 30:24).yoosuf n. prop. 6:84, 12:4, 12:7, 12:8, 12:9, 12:10, 12:11, 12:17, 12:21, 12:29, 12:46, 12:51, 12:56, 12:58, 12:69, 12:76, 12:77, 12:80, 12:84, 12:85, 12:87, 12:89, 12:90, 12:90, 12:94, 12:99, 40:34"
