Root,Meanings
Dad-Alif-Nun ," to have numerous sheep, set apart, detach, separate, set apart the sheep from the goat.Da'n noun. masculine. (pl. of Da'in) - 6:143LaneÂ’s Lexicon, Volume 5, pages:45"
Dad-Ayn-Fa ," to be weak/feeble/infirm. To think repute, esteem, treat or hold a person weak. To exceed, twofold, manyfold, double, triple, multiple words. Like, an equal portion or as much again.adz'afan, mudza'afah are not used in 3:130, 4:131 as a qualifying phrase to restrict the meaning ofriba (interest or usury) so as to confine it to a particular kind of riba. They are used as descriptive clause to point to the inherent nature ofriba which continually goes on increasing.Da'ufavb. (I) perf. act. - 3:146, 22:73, n.vb. - 8:66, 30:54, Da'if n.m. (adj.) - 2:266, 2:282, 4:9, 4:28, 4:76, 9:91, 11:91, 14:21, 19:75, 40:47, 72:24, Di'f n.m. (pl. of aD'af) - 2:245, 2:265, 3:130, 7:38, 7:38, 17:75, 17:75, 33:30, 33:68, 34:37, 38:61, Da'afavb. (III) impf. act. - 2:245, 2:261, 4:40, 57:11, 64:17, impf. pass. - 11:20, 25:69, 33:30, 57:18, pcple. pass. - 3:130, aD'afa vb. (IV) - pcple. act. 30:39, istaD'afavb. (X) perf. act. 7:150, impf. act. 28:4, perf. pass. 7:75, 28:5, 34:31, 34:32, 34:33, impf. pass. 7:137, pcple. pass. 4:75, 4:97, 4:98, 4:127, 8:26LaneÂ’s Lexicon, Volume 5, pages:75,76,77"
Dad-Ba-Ha ," to pant, breathe in running (horses), snore, yelp, snorting, the act of panting and soaring, cried out, raising the voice in reading.Dabaha noun. verb. accusative - 100:1LaneÂ’s Lexicon, Volume 5, pages:48,49"
Dad-Dal-Dal ," to overcome anyone, contradict, oppose. Hostile, adversary, contrary, one pitted against, against, repugnant.Didd n.m. - 19:82LaneÂ’s Lexicon, Volume 5, pages:60"
Dad-Fa-Dal-Ayn ," frogs (if said to water), shrank or became contracted (if said to a man), a certain reptile of the riversDafaadiÂ’a n.m. (pl. dafda) - 7:133LaneÂ’s Lexicon, Volume 5, pages:80"
Dad-Ghayn-Nun," He (or oneÂ’s bosom) became affected with rancour, malevolence, malice, or spite. It became crooked. He became affected with desire or with yearning or with longing for the soul. The lion (because he is very rancorous, malevolent, malicious, or spiteful). aDghaanahum - n.m. (pl. of dahgn) 47:29 , aDghaanakum - 47:37LaneÂ’s Lexicon, Volume 5, pages:79"
Dad-Gh-Tha," Collected, confused or confounded. Washed without cleansing. Felt (for a certain purpose). Complications.A handful of herbs mixed together, fresh and dry. A handful of twigs of trees or shrubs or of the fruit-stalks of the raceme of a palm-tree. Whatever that is collected or bundled together and grasped with the hand.A deed that is of mixed kind, not pure or not sincere. Something which is no good.To be said of a she-camel, of which one doubts whether she be fat, and which one therefore feels with his hand (the hump), to know whether she be fat or not.One who hides himself in a thicket or the like, and frightens boys by a sound reiterated in his fauces.Rain that moistens the earth and the herbage.aDghaathu - n.m. (pl. adghath) 12:44, 21:5 , Dighthan - 38:44LaneÂ’s Lexicon, Volume 5, pages:77,78"
Dad-ha-Ya ," Resembled, conformed, imitated. Became gentle, tender, courteous, behaved gently.daha vb. (3)yuDaahiuu impf. act. 9:30LaneÂ’s Lexicon, Volume 5, pages:92"
Dad-Ha-Kaf ," to wonder, menstruate, rejoice, inspire with awe, ridicule, laugh at, laugh, become clear.Dahikavb. (I)perf. act. - 11:71, impf. act. - 9:82, 23:110, 43:47, 53:60, 83:29, 83:34, pcple. act. - 27:19, 80:39.aDhaka vb. (IV)perf. act. 3rd. m. sing. - 53:43LaneÂ’s Lexicon, Volume 5, pages:56,57"
Dad-Ha-Ya ," to be smitten by sunbeams, suffer from the heat of the sun, become uncovered, be revealed, appear conspicuously.Can also means those hours of the morning which follow shortly after sunrise, full brightness of the sun, sunshine, part of the forenoon when the sun is already high, bright part pf the day when the sun shines fully, early afternoon, high noon, daytime/daylight.Dahiya vb. (I) impf. act. - 20:119, Duha n.com. - 7:98, 20:59, 79:29, 79:46, 91:1, 93:1LaneÂ’s Lexicon, Volume 5, pages:57,58,59"
