Root,Meanings
Dal-Alif-Ba   ," to be diligent, zealous, strive steadily, urge, drive, hold oneÂ’s course,   toil constantly.da'aba   vb. (1) pcple. act. 14:33da'b n.m. 3:11,   8:52, 8:54, 12:47, 40:31Lane's   Lexicon, Volume 3, pages:    5,  6"
Dal-Ayn-Ayn   ," to repel, push, thrust, push back and drive away with violence.da'a vb.   (1)  impf. act. 107:2  impf. pass. 52:13  n.vb. 52:13Lane's   Lexicon, Volume 3, pages:  47"
Dal-Ayn-Waw ," to seek, desire, ask, demand, call upon, invoke, ascribe,   cry out, call out to, pray, supplicate, petition, require, need, summon,   invite, assert, succour. (e.g. 'daAAa' in phonetic search engine).  Adopted son (adiya, pl. of da'iy).daAAa vb.   (1)  perf. act. 2:186,   3:38, 7:189, 7:193, 8:24, 10:12, 10:22, 14:22, 18:52, 19:91, 25:13, 27:62,   28:64, 29:65, 30:25, 30:33, 31:32, 39:8, 39:49, 41:33, 44:22, 54:10, 71:5,   71:7, 71:8  impf. act. 2:221,   2:221, 3:61, 3:104, 3:153, 4:117, 6:40, 6:41, 6:41, 6:52, 6:56, 6:63, 6:71,   6:71, 6:108, 7:37, 7:193, 7:194, 7:197, 7:198, 10:12, 10:25, 10:66, 10:106,   11:62, 11:101, 12:33, 12:108, 13:14, 13:36, 14:9, 14:10, 16:20, 16:86, 17:11,   17:52, 17:57, 17:67, 17:71, 17:110, 18:14, 18:28, 18:57, 19:48, 19:48, 21:90,   22:12, 22:13, 22:62, 22:73, 23:117, 25:14, 25:68, 26:72, 26:213, 28:25, 28:41,   28:88, 29:42, 31:21, 31:30, 32:16, 35:6, 35:13, 35:14, 35:18, 35:40, 37:125,   38:51, 39:8, 39:38, 40:20, 40:26, 40:41, 40:41, 40:42, 40:42, 40:43, 40:66,   40:74, 41:5, 41:48, 42:13, 43:86, 44:55, 46:4, 46:5, 47:35, 52:28, 54:6, 57:8,   70:17, 72:18, 72:19, 72:20, 84:11, 96:17, 96:18  impv. 2:23,   2:61, 2:68, 2:69, 2:70, 2:60, 7:29, 7:55, 7:56, 7:134, 7:180, 7:194, 7:195,   10:38, 11:13, 16:125, 17:56, 17:110, 17:110, 22:67, 25:14, 28:64, 28:87, 33:5,   34:22, 40:14, 40:49, 40:50, 40:60, 40:65, 42:15, 43:49  perf. pass. 2:282,   24:48, 24:51, 33:53, 40:12  impf. pass. 3:23,   40:10, 42:28, 47:38, 48:16, 61:7, 68:42, 68:43  n.vb. 2:171, 3:38, 13:14, 14:39,   14:40, 17:11, 19:4, 19:48, 21:45, 24:63, 24:63, 25:77, 27:80, 30:52, 35:14,   40:50, 41:49, 41:51, 46:5, 71:6  pcple. act. 2:186,   20:108, 33:46, 46:31, 46:32, 54:6, 54:8adiya n.m.   (pl. of da'iy) 33:4,   33:37dawa n.f. 7:5,   10:10, 10:10, 21:15dawah n.f. 2:186,   10:89, 13:14, 14:44, 30:25, 40:43idda'a   vb. (8) impf. act. 36:57,   41:31, 67:27Lane's   Lexicon, Volume 3, pages:    49,   50,   51"
Dal-Ba-Ba (or Dal-Ba with a tashdeed on the Ba) ," to go gently,   crawl/creep/walk, hit, expine, flow, throw.  Whatsoever moves on earth especially beasts of burden, quadraped, beast,   moving creature, insect, creature on earth, materialistic person whose   endeavors are wholly directed to the acquisition of worldy riches and material   comforts and who has fallen on the pleasures of this world with all his might   and main.dabbah   n.f. (pl. dawab) 2:164,   6:38, 8:22, 8:55, 11:6, 11:56, 16:49, 16:61, 22:18, 24:45, 27:82, 29:60,   31:10, 34:14, 35:28, 35:45, 42:29, 45:4Lane's   Lexicon, Volume 3, pages:    7, 8,9"
Dal-Ba-Ra ," to turn the back, flee, follow after, be behind, become   old, take a thing away, veer to the west wind, elapse (day, night), follow   with respect.  Back, hinder part, the last, extremity, that which comes after, at the end of,   extreme, last remnant, uttermost part.  To dispose, manage, govern, consider, the issues or results of the affairs or   the case, perform or execute the affair with thought or consideration, devise   or plan the affair with thought or consideration, devise or plan the affair,   regulate.  Consequence, result.idbar "
Dal-Fa-Alif   ," to be or keep warm, be hot. DifÂ’un "
Dal-Fa-Ayn   ," To push, pay over to, repel, drive away, avert, defend, discard, refute,   quiet, plead, deliver up, dash (torrent), struggle, hinder.dafa'a   vb. (1)  perf. act. 4:6  impv. 3:167,   4:6, 23:96, 41:34  n.vb. 2:251,   22:40  pcple. act. 52:8,   70:2dafa'a   vb. (3) impf. act. 22:38Lane's   Lexicon, Volume 3, pages:    56,   57,   58"
Dal-Fa-Qaf   ," To flow with force, pour forth, go briskly.dafaqa   vb. (1) pcple. act. 86:6Lane's   Lexicon, Volume 3, pages:    58,   59"
Dal-ha-Miim   ," To crush, come suddenly upon, blacken.id.hamma   vb. (11) pcple. act. 55:64Lane's   Lexicon, Volume 3, pages:    91,   92"
Dal-ha-Nun   ," To anoint, strike (with a stick), moisten, blandish, pleasantly smooth,   agreeable and suave, dissemble with, coax, be pliant, grease, dis-simulate.dihan n.m. 55:37duhn n.m. 23:20ad.hana   vb. (4)  impf. act. 68:9,   68:9  pcple. act. 56:81Lane's   Lexicon, Volume 3, pages:    92,   93"
Dal-ha-Qaf   ," To fill up, pour forth (a cup).dihaq n.m. 78:34Lane's   Lexicon, Volume 3, page:    90"
Dal-ha-Ra   ," To happen.Dahrun,   plu. Duhur: Time (short or long); Beginning of time; Year; Event; Time from   the beginning of the world to its end; Epoch; Vicissitudes of time; Calamity;   Fate; as time brings to pass events; Good or evil.dahr n.m. 45:24,   76:1Lane's   Lexicon, Volume 3, pages:    89,   90"
Dal-ha-Ya   ," To overtake, calamity (as it encompasses a person on all sides, astound,   happen, injuriously affected)ad.ha n.m.   comp. 54:46Lane's   Lexicon, Volume 3, pages:    93,   94"
Dal-Ha-Dad   ," slip, having no firmness/stability, become null & void, to anul/void/reject,   examine into, to be weak, to jerk/decline, that which has no force/weight, to   refute/condemn, to depart, to go away.dahada   vb. (1)  pcple. act. 42:16adhada vb. (4)  impf. act. 18:56, 40:5  pcple. pass. 37:141Lane's   Lexicon, Volume 3, pages:    21,   22"
Dal-Ha-Ra   ," To drive away, repel, turn off, discard, banish.dahara   vb. (1)  n.vb. 37:9  pcple. pass. 7:18,   17:18, 17:39Lane's   Lexicon, Volume 3, pages:    21"
Dal-Ha-Waw   (Dal-Ha-Alif) ," To hurl, spread forth, expand, stretch out, cast away, extend,   drive along.daha vb.   (1) perf. act. 79:30Lane's   Lexicon, Volume 3, page:    23"
Dal-Kaf-Kaf   ," To crush, break, beat, deflate, ground, crumble to pieces, be completely   crushed and broken to pieces.dakka vb.   (1)  perf. pass. 69:14,   89:21  n.vb. 7:143,   89:21, 89:21dakka n.f. 18:98dakkah   n.f. 69:14Lane's   Lexicon, Volume 3, pages:    64,   65"
