Root,Meanings
Fa ," A prefixed conjunction particle having conjunctive power. It implies a close connection between the sentences before and after it. This connection may be either definite cause and effect or a natural sequence of events signifying: and, then, for, therefore, so that, so, in order that, in that case, in consequence, afterwards, at least, lest, because, for fear of, truly, after, by, but, thus, consequently, in order to. It is also expletive and a prefix to other particles, e.g. fa-amma, fa-anna, fa-inni, fa-aina etc.  "
Fa-Alif-Waw ," to split/clave/smote/strike, it became cracked/open/split.An interval, low/depressed place (usually surrounded by mountains).A party/portion/division, distinct body, company or congregated body.fi'ah n.f. 2:249, 2:249, 3:13, 3:13, 4:88, 8:16, 8:19, 8:45,   8:48, 18:43, 28:81LL, V6, p: 110"
Fa-Ayn-Lam ," to do something, He did it, the suffering or receiving the effect of an act, to commit, a doing, to do a deed, a custom/habit/manner/wont.fa'ala vb. (1)perf. act. 2:234, 2:240, 3:135, 3:135, 4:66, 4:66, 5:79, 6:112, 6:137, 7:28, 7:155, 7:173, 10:106, 12:89, 14:45, 16:33, 16:35, 18:82, 21:59, 21:62, 21:63, 26:19, 26:19, 26:20, 49:6, 54:52, 89:6, 105:1impf. act. 2:24, 2:24, 2:71, 2:85, 2:197, 2:215, 2:231, 2:253, 2:279, 2:282, 3:28, 3:40, 3:115, 3:188, 4:30, 4:114, 4:127, 4:147, 5:67, 5:79, 6:159, 8:73, 10:36, 10:46, 11:36, 11:87, 12:32, 14:27, 16:50, 16:91, 21:23, 22:14, 22:18, 24:41, 25:68, 26:74, 26:226, 27:34, 27:88, 30:40, 33:6, 37:34, 39:70, 42:25, 58:13, 60:1, 61:2, 61:3, 63:9, 66:6, 77:18, 82:12, 83:36, 85:7impv. 2:68, 22:77, 37:102perf. pass. 34:54impf. pass. 46:9, 75:25pcple. act. 12:10, 12:61, 15:71, 18:23, 21:17, 21:68, 21:79, 21:104, 23:4pcple. pass. 4:47, 8:42, 8:44, 17:5, 17:108, 33:37, 73:18fa'al n.m. 11:107, 85:16fi'l n.m. (alternative fa'l) 21:73, 26:19LL, V6, p: 204, 205"
Fa-Dal-Ya ," he gave a thing, ransom, purchase, he loosed him or set him free, mufadat - giving a man and taking a man in exchange, a collection.fada vb. (1)perf. act. 37:107n.vb. 47:4fidyah n.f. 2:184, 2:196, 57:15fada vb. (3) impf. act. 2:85iftada vb. (8)perf. act. 2:229, 3:91, 10:54, 13:18, 39:47impf. act. 5:36, 70:11LL, V6, p: 137, 138"
Fa-Dad-Dad ," to break/perforate/destroy, to separate/disperse/scatter/distribute, broke it up, silver, to make wide/ample/large/liberal, small number of men in a state of dispersion, calamity/misfortune, fiddah n.f. 3:14, 9:34, 43:33, 76:15, 76:16, 76:21infadda vb. (7)perf. act. 3:159, 62:11impf. act. 63:7LL, V6, p: 192, 193, 194"
Fa-Dad-Ha ," expose vices/faults or evil qualities/actions, to disgrace, put to shame, the daybreak/dawn because it exposes everything, white but not intensely so.fadaha vb. (1) impf. act. 15:68LL, V6, p: 194"
Fa-Dad-Lam   ," excel, distinguish, surpass, superior, gain/gift, bestow benefit/bounty/favour/gracefadl n.m. 2:64, 2:90, 2:105, 2:198, 2:237, 2:243, 2:251, 2:268, 3:73, 3:74, 3:152, 3:170, 3:171, 3:174, 3:174, 3:180, 4:32, 4:37, 4:54, 4:70, 4:83, 4:113, 4:113, 4:173, 4:175, 5:2, 5:54, 7:39, 8:29, 9:28, 9:59, 9:74, 9:75,  9:76,  10:58, 10:60, 10:107, 11:3, 11:3, 11:27, 12:38, 16:14, 17:12, 17:66, 17:87, 24:10, 24:14, 24:20, 24:21, 24:22, 24:32, 24:33, 24:38,  27:16,  27:40, 27:73, 28:73, 30:23, 30:45, 30:46, 33:47, 34:10, 35:12, 35:30, 35:32,  35:35, 40:61, 42:22, 42:26, 44:57, 45:12, 48:29, 49:8, 57:21, 57:21, 57:29, 57:29, 57:29, 59:8, 62:4, 62:4, 62:10, 73:20faddala vb. (2)perf. act. 2:47, 2:122, 2:253, 4:32, 4:34, 4:95, 4:95, 6:86, 7:140, 16:71, 17:21, 17:55, 17:70, 27:15, 45:16impf. act. 13:4perf. pass. 16:71n.vb. 17:21, 17:70tafaddala vb. (5) impf. act. 23:24LL, V6, p: 195, 196, 197"
Fa-Dad-Ya ," become wide/spacious/empty/vacant/void, it reached a thing/person, reach one another, to communicate / make known, to mix, share in common. afda vb. (4) perf. act. 4:21LL, V6, p: 197, 198"
Fa-ha-Miim ," he understood it or knew it with the mind, he apprehended its meaning.fahhama vb. (2) perf. act. 21:79LL, V6, p: 237, 238"
Fa-Ha-Shin ," became excessive/immoderate/enormous/exorbitant/overmuch/beyond measure, foul/bad/evil/unseemly/indecency/abominable, lewd/gross/obscene, committing excess which is forbidden, transgress the bounds/limits, avaricious, adultery/fornication.fahishah n.f. (pl. fawahish) 3:135, 4:15, 4:19, 4:22, 4:25, 6:151, 7:28, 7:33, 7:80, 17:32, 24:19, 27:54, 29:28, 33:30, 42:37, 53:32, 65:1fahsha n.f. 2:169, 2:268, 7:28, 12:24, 16:90, 24:21, 29:45LL, V6, p: 128, 129"
