Root,Meanings
Ghayn-Ba-Nun  ," cheated, deceived, overreached, defrauded,   endamaged, suffer loss or damage or detrimenttaghabana   vb. (5) n.vb. 64:9 (taghaabuni)   ; signifies mutuality in the endeavor of cheating, endamaging, or overcoming.LaneÂ’s   Lexicon, Volume 6, pages:    11"
Ghayn-Ba-Ra  ," remained, lasted, continued, tarried,   stayed, waited, passed/went away, recrudescent, dust-coloredghabara vb.   (1) pcple. act. 7:83,   15:60, 26:171, 27:57, 29:32, 29:33, 37:135 (ghabireen)ghabarat   n.f. 80:40LaneÂ’s   Lexicon, Volume 6, pages:    7,    8"
Gh-Dal-Qaf  ," spring or source abounded with water,   abundant, generousghadaq n.m. 72:16LaneÂ’s   Lexicon, Volume 6, pages:    17,    18"
Gh-Dal-Ra  ," perfidious, treacherous, unfaithful,   faithless, to neglectghadara vb.   (1) impf. act. 18:47,   18:49 (ghaadir, ghaadiru)LaneÂ’s   Lexicon, Volume 6, pages:    15,    16,    17"
Gh-Dal-Waw  ," early part of morning, morrow, morning, time   between the prayer of daybreak and sunrise, first part of the dayghada vb.   (1)  perf. act. 3:121,   68:25 (ghathaw)  impv. 68:22 (aghthuu)ghad n.m. 12:12,   18:23, 31:34, 54:26, 59:18 (ghathan, ghathin on 59:18)ghada n.m. 18:62 (ghathaa)ghadat n.f. 6:52, 18:28   (ghathaati)ghudw n.m. 7:205,   13:15, 24:36, 34:12, 40:46 (ghuthuwwi, ghuthuwwu, ghuthuwwan)LaneÂ’s   Lexicon, Volume 6, pages:    18,    19"
Ghayn-Daad-Ba," anger/wrath/stern, intense/deep rednessghadiba vb.   (1)  perf. act. 4:93, 5:60,   42:37, 48:6, 58:14, 60:13 (ghadiba, ghadibuu on 42:37)  n.vb. 2:61, 2:90,   2:90, 3:112, 7:71, 7:152, 7:154, 8:16, 16:106, 20:81, 20:81, 20:86, 24:9,   42:16 (bighadabin, ghadabin, ghadabun, ghadabu, ghadabii, ghadaba)  pcple. pass. 1:7 (maghduubi)   "
Gh-Dad-Dad  ," lowered, contracted, lessenedghadda vb.   (1)  impf. act. 24:30,   24:31, 49:3 (yaghudduuu)  impv. 31:19 (waghdud)LaneÂ’s   Lexicon, Volume 6, pages:    48,    49"
Gh-Fa-Lam  ," unmindful, forgetful, neglectful, heedless,   intentionally neglecting or leaving or turning awayghafala vb.   (1)  impf. act. 4:102 (taghfuluuna)  pcple. act. 2:74, 2:85,   2:140, 2:144, 2:149, 3:99, 6:131, 6:132, 6:156, 7:136, 7:146, 7:172, 7:179,   7:205, 10:7, 10:29, 10:92, 11:123, 12:3, 12:13, 14:42, 16:108, 23:17, 24:23,   27:93, 30:7, 36:6, 46:5 (bighaafilin, ghaafilun, laghaafilin, ghaafiliin,   laghaafiluun, ghaafilan, ghafilaati, ghafiluun)ghaflah n.f. 19:39,   21:1, 21:97, 28:15, 50:22 (ghaflatin)aghfala vb.   (4) perf. act. 18:28 (aghfalnaa)LaneÂ’s   Lexicon, Volume 6, pages:    59,    60"
Gh-Fa-Ra  ," protect, cover over, shield, forgive,   pardon.ghafara vb.   (1)  perf. act. 28:16,   36:27, 38:25, 42:43 (ghafuuru, ghafara, faghafarnaa)  impf. act. 2:58,   2:284, 3:31, 3:129, 3:135, 4:48, 4:116, 4:137, 4:168, 5:18, 5:40, 5:118, 7:23,   7:149, 7:161, 8:29, 8:70, 9:80, 11:47, 12:92, 14:10, 20:73, 24:22, 26:51,   26:82, 33:71, 39:53, 42:37, 45:14, 46:31, 47:34, 48:2, 48:14, 57:28, 61:12,   63:6, 64:14, 64:17, 71:4, 71:7 (yaghfira, yaghfir, yaghfiru, yaghfiruuna,   yaghfiruu, liyaghfira, ghafuuran, ghafuurun, astaghfarta, taghfiruu,   litaghfira)  impv. 2:286,   3:16, 3:147, 3:193, 7:151, 7:155, 14:41, 23:109, 23:118, 26:86, 28:16, 38:35,   40:7, 59:10, 60:5, 66:8, 71:28 (aghfirlanaa, aghfirlii, aghfir, yastaghfiruuna)  impf. pass. 7:169, 8:38   (sayughfaru, yughfar)  pcple. act. 7:155, 40:3   (ghaafiriin, ghaafiri)ghaffar n.m. 20:82,   38:66, 39:5, 40:42, 71:10 (laghaffaarun, ghaffaaru, ghaffaari, ghaffaaran)ghafur n.m. 2:173,   2:182, 2:192, 2:199, 2:218, 2:225, 2:226, 2:235, 3:31, 3:89, 3:129, 3:155,   4:23, 4:25, 4:43, 4:96, 4:99, 4:100, 4:106, 4:110, 4:129, 4:152, 5:3, 5:34,   5:39, 5:74, 5:98, 5:101, 6:54, 6:145, 6:165, 7:153, 7:167, 8:69, 8:70, 9:5,   9:27, 9:91, 9:99, 9:102, 10:107, 11:41, 12:53, 12:98, 14:36, 15:49, 16:18,   16:110, 16:115, 16:119, 17:25, 17:44, 18:58, 22:60, 24:5, 24:22, 24:33, 24:62,   25:6, 25:70, 27:11, 28:16, 33:5, 33:24, 33:50, 33:59, 33:73, 34:2, 34:15,   35:28, 35:30, 35:34, 35:41, 39:53, 41:32, 42:5, 42:23, 46:8, 48:14, 49:5,   49:14, 57:28, 58:2, 58:12, 60:7, 60:12, 64:14, 66:1, 67:2, 73:20, 85:14 (ghafuurun,   ghafuuran, ghafuuru, ghafuurin)ghufran n.m. 2:285 (ghufraa)maghfirah   n.f. 2:175,   2:221, 2:263, 2:268, 3:133, 3:136, 3:157, 4:96, 5:9, 8:4, 8:74, 11:11, 13:6,   22:50, 24:26, 33:35, 34:4, 35:7, 36:11, 41:43, 47:15, 48:29, 49:3, 53:32,   57:20, 57:21, 67:12, 74:56 (maghfirati, maghfiratun, maghfiratan, maghfiratin)istaghfara   vb. (10)  perf. act. 3:135,   4:64, 4:64, 38:24, 63:6 (astaghfaru, astaghfara, astaghfarta)  impf. act. 4:110,   5:74, 8:33, 9:80, 9:80, 9:113, 12:98, 18:55, 19:47, 27:46, 40:7, 42:5, 51:18,   60:4, 63:5, 63:6 (yastaghfiri, tastaghfir, yaghfira, yastaghfiruu,   astaghfirulaka, tastaghfiruuna, yastaghfiruuna, astaghfira, yastaghfir,   tastaghfir)  impv. 2:199,   3:159, 4:106, 9:80, 11:3, 11:52, 11:61, 11:90, 12:29, 12:97, 24:62, 40:55,   41:6, 47:19, 48:11, 60:12, 71:10, 73:20, 110:3 (astaghfiruu, astaghfirlahum,   astaghfiri. Tastaghfirlahum, astaghfirlanaa, astaghfir)  n.vb. 9:114 (istighfaaru)  pcple. act. 3:17 (mustaghfiriina)LaneÂ’s   Lexicon, Volume 6, pages:    57,    58,    59"
Gh-Lam-Ba  ," overcame, conquered, subdued, mastered,   surpassed, superior in power or forceghalaba vb.   (1)  perf. act. 2:249,   18:21, 23:106 (ghalabat, ghalabuu)   impf. act. 4:74, 8:65,   8:65, 8:66, 8:66, 30:3, 41:26, 58:21 (yaghlib, yaghlibuu, yaghlibuuna,   taghlibuuna, aghlibanna)  perf. pass. 7:119, 30:2   (faghulibuu, ghulibati)  impf. pass. 3:12, 8:36   (yughlabuuna, satughlabuuna)  n.vb. 30:3 (sayaghlibuuna)  pcple. act. 3:160,   5:23, 5:56, 7:113, 8:48, 12:21, 21:44, 26:40, 26:41, 26:44, 28:35, 37:116,   37:173 (ghaaliba, ghaalibuuna, ghalibiina, ghaalibun)  pcple. pass. 54:10 (maghluubun)ghulb n.m.   (pl. of aghlab) 80:30 (ghulban)LaneÂ’s   Lexicon, Volume 6, pages:    63,    64"
