Root,Meanings
ha-Alif-Ta ," bring ye, produce. hatoo (compound word of ha & tu)hati vb. (?) impv. 2:111, 21:24, 27:64, 28:75"
ha-Ba-Ta ," to go forth, descend, cause to come down, descend from a high state to a low one, move from one place to another, enter into, change in condition, come forth from, become low, degraded.habata vb. (1)impf. act. 2:74impv. 2:36, 2:38, 2:61, 7:13, 7:24, 11:48, 20:123Lane's Lexicon, Volume 8, pages:128,129"
ha-Ba-Waw ," to rise so as to float in the air (dust), be turned into ashes (embers).haba n.m. 25:23, 56:6Lane's Lexicon, Volume 8, pages:095"
ha-Dal-Dal ," to break/crush, overthrow, crumble down, pull down, demolish, fall down into pieces.hadda vb. (1) n.vb. 19:90Lane's Lexicon, Volume 8, pages:136,137"
ha-Dal-Miim ," to overturn, break, demolish, put down, fall down into pieces.haddama vb. (2) perf. pass. 22:40Lane's Lexicon, Volume 8, pages:296"
ha-Dal-ha-Dal ," to coo (as a dove), grumble (as a camel), dandle (as a child), throw (a thing down). hadhadatun - murmuring sound. hadaahid - patience. hudhud - bird, hoopoe upupa, lapwing, peewit.hudhud n.m. 27:20Lane's Lexicon, Volume 8, pages:136,137"
ha-Dal-Ya ," to guide/direct to the way, take/follow right way/course, rightly guided/directed, a way/course/method/mode/manner of conduct. Gift.hada (1) vb. (1) n.vb. 2:196, 2:196, 2:196, 5:2, 5:95, 5:97, 48:25hada (2) vb. (1)perf. act. 2:143, 2:185, 2:198, 2:213, 3:8, 4:68, 6:71, 6:80, 6:84, 6:84, 6:87, 6:90, 6:149, 6:161, 7:30, 7:43, 7:43, 9:115, 13:31, 14:12, 14:21, 14:21, 16:9, 16:36, 16:121, 19:58, 20:50, 20:79, 20:122, 22:37, 37:118, 39:18, 39:57, 41:17, 49:17, 76:3, 87:3, 90:10, 93:7impf. act. 2:26, 2:142, 2:213, 2:258, 2:264, 2:272, 3:86, 3:86, 4:26, 4:88, 4:137, 4:168, 4:175, 5:16, 5:16, 5:51, 5:67, 5:108, 6:77, 6:88, 6:125, 6:144, 7:100, 7:148, 7:155, 7:159, 7:178, 7:181, 9:19, 9:24, 9:37, 9:80, 9:109, 10:9, 10:25, 10:35, 10:35, 10:35, 10:35, 10:43, 12:52, 13:27, 14:4, 16:37, 16:93, 16:104, 16:107, 17:9, 17:97, 18:17, 18:24, 19:43, 20:128, 21:73, 22:4, 22:16, 24:35, 24:46, 26:62, 26:78, 27:63, 28:22, 28:50, 28:56, 28:56, 29:69, 30:29, 32:24, 32:26, 33:4, 34:6, 35:8, 37:99, 39:3, 39:23, 39:37, 40:28, 40:29, 40:38, 42:13, 42:52, 42:52, 43:27, 43:40, 45:23, 46:10, 46:30, 47:5, 48:2, 48:20, 61:5, 61:7, 62:5, 63:6, 64:6, 64:11, 72:2, 74:31, 79:19impv. 1:6, 37:23, 38:22perf. pass. 3:101, 22:24, 22:24impf. pass. 10:35n.vb. 2:2, 2:5, 2:16, 2:38, 2:38, 2:97, 2:120, 2:120, 2:159, 2:175, 2:185, 2:185, 2:272, 3:4, 3:73, 3:73, 3:96, 3:138, 4:115, 5:44, 5:46, 5:46, 6:35, 6:71, 6:71, 6:71, 6:88, 6:90, 6:91, 6:154, 6:157, 7:52, 7:154, 7:193, 7:198, 7:203, 9:33, 10:57, 12:111, 16:37, 16:64, 16:89, 16:102, 17:2, 17:94, 18:13, 18:55, 18:57, 19:76, 20:10, 20:47, 20:123, 20:123, 22:8, 22:67, 27:2, 27:77, 28:37, 28:43, 28:50, 28:57, 28:85, 31:3, 31:5, 31:20, 32:13, 32:23, 34:24, 34:32, 39:23, 40:53, 40:54, 41:17, 41:44, 45:11, 45:20, 47:17, 47:25, 47:32, 48:28, 53:23, 61:9, 72:13, 92:12, 96:11pcple. act. 7:186, 13:7, 13:33, 22:54, 25:31, 27:81, 30:53, 39:23, 39:36, 40:33ahda n.m. comp. 4:51, 6:157, 17:84, 28:49, 35:42, 43:24, 67:22hadiyah n.f. 27:35, 27:36ihtada vb. (8)perf. act. 2:137, 3:20, 5:105, 10:108, 17:15, 19:76, 20:82, 20:135, 27:92, 34:50, 39:41, 47:17, 53:30impf. act. 2:53, 2:135, 2:150, 2:170, 3:103, 4:98, 5:104, 6:97, 7:43, 7:158, 10:108, 16:15, 16:16, 17:15, 18:57, 21:31, 23:49, 24:54, 27:24, 27:41, 27:41, 27:92, 28:64, 32:3, 43:10, 46:11pcple. act. 2:16, 2:70, 2:157, 6:56, 6:82, 6:117, 6:140, 7:30, 7:178, 9:18, 10:45, 16:125, 17:97, 18:17, 28:56, 36:21, 43:22, 43:37, 43:49, 57:26, 68:7Lane's Lexicon, Volume 8, pages:296"
ha-Dad-Miim ," to withold one's dues, be near break, oppress, do wrong, fall on each other, be slander.hadama vb. (1) n.vb. 20:112hadim n.m. 26:148Lane's Lexicon, Volume 8, pages:297,298"
ha-Jiim-Ayn ," to sleep and slumber at night calmly and quietly.haja'a vb. (1) impf. act. 51:17Lane's Lexicon, Volume 8, pages:295"
ha-Jiim-Dal ," to sleep watch, remain awake. hajjada - to awake from sleep, pray in the night. ahjad - to lay the neck upon the ground (camel). tohajjad - remain awake.tahajjada vb. (5) impv. 17:79Lane's Lexicon, Volume 8, pages:133"
