Root,Meanings
Ha-Ba-Ba," To love,   like, wish.  Habbun "
Ha-Ba-Kaf   ," To weave wellhubuk n.m. (pl. of   hibak) 51:7  Lane's Lexicon, Volume 2, page:  139,  140"
Ha-Ba-Lam   ," tie/fasten with rope, rope/cord, covenant, a thing by means of which one   snares/catches/snares, obtaining an assurance/promise of safety, snare, to   entrap, to captivate, being pregnant/full, bond, cause of union, link of  connexion, marriage, carotid artery, jugular vein,   calamity/misfortune, a foetus in the womb,   grapevine, one who binds, crisped/plaited/rope-like hair (e.g. that of   Ethiopians).habl n.m. (pl. hibal) 3:103, 3:112, 3:112,   20:66, 26:44, 50:16, 111:5  Lane's Lexicon, Volume 2, page:  140,  141,  142"
Ha-Ba-Ra  ," To make   beautiful, delight, be joyful, cheer anyone.   Habbara: To   put ink.habara vb. (1) impf.   pass. 30:15, 43:70habr n.m. (pl. of habr) 5:44, 5:63, 9:31, 9:34  Lane's Lexicon, Volume 2, page:  134,  135,  136"
Ha-Ba-Siin   ," To detain, restrain, hinder, shut up, confine, prevent, hold in custody.habasa vb. (1) impf.   act. 5:106, 11:8  Lane's Lexicon, Volume 2, page:  136,  137"
Ha-Ba-Tay   ," To go in vain, be fruitless, perish, be of no avail, be useless, come to   naught, become ineffective.habita vb. (1)  perf. act. 2:217, 3:22, 5:5,   5:53, 6:88, 7:147, 9:17, 9:69, 11:16, 18:105  impf. act. 39:65, 49:2ahbata vb. (4)  perf. act. 33:19, 47:9, 47:28  impf. act. 47:32   Lane's Lexicon, Volume 2, page:  137,  138"
Ha-Dal-Ba   ," To be protuberant; Convex; Humpbacked.hadab n.m. 21:96  Lane's Lexicon, Volume 2, page:  163"
Ha-Dal-Dal," To define a   limit, determine (a thing), punish (a culprit), prevent, thrust back, throw   back, sharpen.hadid (1) n.m. 17:50, 18:96, 22:21,   34:10, 57:25hadid (2) n.m. (adj.   pl. hidad) 33:19, 50:22hudud n.m. (pl. of   hadd) 2:187, 2:229, 2:229,   2:229, 2:229, 2:230, 2:230, 4:13, 4:14, 9:97, 9:112, 58:4, 65:1, 65:1hadda vb. (3)  perf. act. 58:22  impf. act. 9:63, 58:5, 58:20  Lane's Lexicon, Volume 2, page:  160,  161,  162"
Ha-Dal-Qaf," To surround,   encompass, look at.hada'iq n.f. (pl. of   hadiqah) 27:60, 78:32, 80:30  Lane's Lexicon, Volume 2, page:  167,  168"
Ha-Dal-Thaa   ," something new/recent, it (a thing) came into existence, began to be,   originated, had a beginning, existed newly for the first time, to relate   discourse,  story/report/narration/statement/tale.  Lane: ""hadathu - a novelty or new thing, an   innovation, a thing not known before, and particularly relating to El-Islam   (i.e. to matters of religious doctrines or practices or the like)""hadithn.m.   (pl. ahadith)   ~ tiding, talk, discourse, tale, story4:42, 4:78, 4:87, 4:140haddatha   vb. (II) ~ to speak to, to tell, to declare impf. act.   (yuhaddithu)   - 2:76, 99:4impv.   (haddith) -   93:11ahdatha   vb. (IV) ~ to cause to occur, bring something new to pass, introduce, arouse.   (pcple. pass.)  that which is lately remembered or renewed  impf. act. (yuhdithu)   18:70, 20:113, 65:1 pcple.  pass. (muhdath)   - 21:2, 26:5  Lane's Lexicon, Volume 2, page:  163,  164,  165"
Ha-Thal-Ra   ," To beware, take heed of, caution one’s self against.hathira vb. (1)  impf. act. 9:64, 9:64, 9:122, 24:63,   28:6, 39:9  impv. 2:235, 5:41, 5:49, 5:92,   63:4, 64:14  n.vb. 2:19, 2:243  pcple. act. 26:56  pcple. pass. 17:57hithr n.m. 4:71, 4:102, 4:102haththara vb. (2) impf.   act. 3:28, 3:30  Lane's Lexicon, Volume 2, page:  166,  167"
Ha-Dad-Dad   ," To incite, instigate, excite, rouse.hadda vb. (1)  impf. act. 69:34, 107:3tahadda vb. (6) perf.   act. 89:18  Lane's Lexicon, Volume 2, page:  224"
Ha-Dad-Ra   ," To be present, present at, stand in presence of, hurt, be at hand. hadara vb. (1)  perf. act. 21:33, 21:180, 4:8, 4:18,   5:106, 46:29  impf. act. 23:98  pcple. act. 2:196, 2:282, 7:163,   18:49ahdara vb. (4)  perf. act. 81:14  impf. act. 19:68  perf. pass. 4:128  pcple. pass. 3:30, 28:61, 30:16,   34:38, 36:32, 36:53, 36:75, 37:57, 37:127, 37:158ihtadara vb. (8) pcple.   pass. 54:28  Lane's Lexicon, Volume 2, page:  224,  225,  226,  227"
Ha-Fa-Dal," To do a   thing speedily, minister, be nimble in work.   Hafadatun "
Ha-Fa-Fa   ," To surround, encompass, throng around; crowd round; go around; hedge.haffa vb. (1)  perf. act. 18:32  pcple. act. 39:75  Lane's Lexicon, Volume 2, page:  233,  234,  235"
Ha-Fa-Ra   ," To dig, excavate, scrutinize.hafirah n.f. 79:10hufrah n.f. 3:103  Lane's Lexicon, Volume 2, page:  236,  237"
