Root,Meanings
Jiim-Alif-Ra ," raised his voice in   prayer/supplication , he humbled/abased himself with earnest supplication to   God, Cried out/called for aid/succourja'ara vb. (1) impf. act. 16:53, 23:64, 23:65Lane's Lexicon,   Volume 2, page:    5,    6"
Jiim-Ayn-Lam ," He made a thing, he created/brought   into being/existence. He made to be/become/constitute. He made to be in a   altered state/condition. He pronounced a thing by a true   judgement/decision/legal ordinance, his judgement. Described them as females,   pronounced them to be females, He made known/plain, He   exalted/ennobled/called/named (as in a nation) He inserted a thing into a   thing (Ex: They put their fingers into their ears) He put into the heart/mind,   He appointed/assigned/stipulated to give wages/pay/stipend. He set   about/began/commenced/commenced/took to/betook himself to, doing such a   thing;  He persisted,  a piece of rag with which a cooking pot is put down   from the fire, short palm trees/shoots/offsets.ja'ala vb. (1)  perf. act. 2:22, 2:66, 2:125, 2:143,   2:143, 3:126, 4:5, 4:33, 4:90, 4:91, 5:13, 5:20, 5:20, 5:48, 5:48, 5:60, 5:97,   5:103, 6:1, 6:6, 6:9, 6:9, 6:25, 6:96, 6:97, 6:100, 6:107, 6:112, 6:122,   6:123, 6:136, 6:165, 7:10, 7:27, 7:69, 7:74, 7:143, 7:189, 7:190, 8:10, 9:19,   9:40, 10:5, 10:14, 10:24, 10:59, 10:67, 10:73, 11:82, 11:118, 12:70, 12:100,   13:3, 13:3, 13:16, 13:33, 13:38, 14:30, 15:16, 15:20, 15:74, 15:91, 16:72,   16:72, 16:78, 16:80, 16:80, 16:81, 16:81, 16:81, 16:91, 16:93, 17:2, 17:6,   17:8, 17:12, 17:12, 17:18, 17:33, 17:45, 17:46, 17:60, 17:99, 18:7, 18:32,   18:32, 18:52, 18:57, 18:59, 18:96, 18:98, 19:24, 19:30, 19:31, 19:49, 19:50,   20:53, 21:8, 21:15, 21:30, 21:31, 21:31, 21:32, 21:34, 21:58, 21:70, 21:72,   21:73, 21:91, 22:25, 22:34, 22:36, 22:67, 22:78, 23:13, 23:41, 23:44, 23:50,   25:10, 25:20, 25:23, 25:31, 25:35, 25:37, 25:45, 25:45, 25:47, 25:47, 25:53,   25:54, 25:61, 25:61, 25:62, 26:21, 27:34, 27:61, 27:61, 27:61, 27:61, 27:86,   28:4, 28:41, 28:71, 28:72, 28:73, 29:10, 29:15, 29:27, 29:67, 30:21, 30:54,   30:54, 32:8, 32:9, 32:23, 32:24, 33:4, 33:4, 33:4, 34:18, 34:19, 34:33, 35:11,   35:39, 36:8, 36:9, 36:27, 36:34, 36:80, 37:63, 37:77, 37:98, 37:158, 38:5,   38:26, 39:6, 39:8, 40:61, 40:64, 40:79, 41:10, 41:44, 42:8, 42:11, 42:52,   43:3, 43:10, 43:10, 43:12, 43:15, 43:19, 43:28, 43:33, 43:45, 43:56, 43:59,   43:60, 45:18, 45:23, 46:26, 48:26, 48:27, 49:13, 50:26, 51:42, 56:36, 56:65,   56:70, 56:73, 57:7, 57:26, 57:27, 65:3, 67:5, 67:15, 67:23, 68:50, 71:7,   71:16, 71:16, 71:19, 74:12, 74:31, 74:31, 75:39, 76:2, 77:21, 77:27, 78:9,   78:10, 78:11, 78:13, 87:5, 105:5  impf. act. 2:19, 2:22, 2:30, 2:224,   2:259, 3:61, 3:156, 3:176, 4:15, 4:19, 4:141, 4:144, 5:6, 6:39, 6:91, 6:124,   6:125, 6:125, 7:47, 7:150, 8:29, 8:37, 8:37, 10:85, 10:100, 12:15, 15:96,   16:56, 16:57, 16:62, 17:22, 17:29, 17:39, 18:1, 18:48, 18:90, 18:94, 18:94,   18:95, 19:7, 19:21, 19:32, 19:96, 22:53, 23:94, 24:40, 24:43, 24:63, 25:10,   26:29, 27:62, 28:5, 28:5, 28:35, 28:83, 30:48, 34:33, 38:28, 38:28, 39:21,   41:9, 41:29, 42:50, 45:21, 51:51, 56:82, 57:28, 59:10, 60:5, 60:7, 65:2, 65:4, 65:7, 68:35,   69:12, 71:12, 71:12, 72:25, 73:17, 77:25, 78:6, 90:8, 105:2  impv. 2:126, 2:128, 2:260,   3:41, 4:75, 4:75, 7:138, 10:87, 12:55, 12:62, 14:35, 14:37, 14:40, 17:80,   19:6, 19:10, 20:29, 20:58, 25:74, 26:84, 26:85, 28:38  perf. pass. 16:124  pcple. act. 2:30, 2:124, 3:55, 18:8,   28:7, 35:1Lane's Lexicon,   Volume 2, page:    66,    67"
Jiim-Ba-Ba ," a well, a well containing much   water, a deep/wide well, he shrank/withdrew/was averse/went away, the act of   fleeing. A cavity in a mountain in which the water of the rain collects.  jubb n.m. 12:10, 12:15Lane's Lexicon,   Volume 2, page:    6,    7,    8"
Jiim-Ba-ha ," He slapped/struck/hit him. He said to him something   disliked/hated and he accused him thereof to his face. The forehead.   Largeness/width and beauty of the forehead. The protuberance/prominence of the   forehead. The upper part of the disc of the moon. The chief of people/company   of men. Abjectness/ignominy. A state of annoyance/molestation.jibah n.f. (pl. of jabhah) 9:35Lane's Lexicon,   Volume 2, page:    13,    14"
Jiim-Ba-Lam ," He (God) created him with an adaptation/disposition by   nature. He compelled him against his will. He (or they) came/went/betook   himself to the mountain. He (a digger) reached a hard place or stone in his   digging. Big/thick/coarse/rough (human or a thing). Much/numerous. The   lord/chief of a company of men. Any of the mountains of the earth that is big   and long (also applied to a rocky tract. Any rocky evelation however little) A   man who doesn't remove from his place/niggard. The serpent. The echo. A   vice/fault/defect/blemish. Hardness of the earth/ground. A camel's hump. The   origin of any created thing. A garment/piece of cloth good in respect of the   thread and the weaving. Company of men/nation.   Nature/natural/native/innate/original. Relating to mountain/mountains. Having   a bad/ugly face. Applied to a man: Great/large/big in make like a mountain. jabal n.m. (pl. jibal) 2:260, 7:74, 7:143,   7:143, 7:171, 11:42, 11:43, 13:31, 14:46, 15:82, 16:68, 16:81, 17:37, 18:47,   19:90, 20:105, 21:79, 22:18, 24:43, 26:149, 27:88, 33:72, 34:10, 35:27, 38:18,   52:10, 56:5, 59:21, 69:14, 70:9, 73:14, 73:14, 77:10, 78:7, 78:20, 79:32,   81:3, 88:19, 101:5jibillah n.f. 26:184, 36:62Lane's Lexicon,   Volume 2, page:    11,    12"
Jiim-Ba-Nun ," Cowardly, weak hearted, He held back/refrained through   cowardice. The temple/side of the forehead, brow.jabin n.m. 37:103Lane's Lexicon,   Volume 2, page:    12,    13"
Jiim-Ba-Ra   ," To   reduce from a fractured state, or restore from a state of poverty to   sufficiency. Set or reduced from a fractured state. ""A   poor man being likened to one who has a broken bone and his restoration   to wealth being likened to the setting of the bone.""Compell, constrain, incite, urge, or induce   another [against his will]. Addition of something for the   purpose of reparation [in computation].   Self-magnification, pride, haughtiness, insolence, bold, audacious,   inordinate, tyrannical, overbearing, extravagent.A king. ""There   has been no prophetic office but a kingly office has succeeded in its place   through someone's self-magnification, pride, haughtiness, or insolence.""  Slave, servant. No retaliation or expiatory mulct   exacted [for a thing/person]. Tall, above the reach of the hand, ascend [the   palm tree that grows tall for the cutting of its fruit], and retaining   excellence. jabbar n.m. 5:22, 11:59, 14:15,   19:14, 19:32, 26:130, 28:19, 40:35, 50:45, 59:23jibril n. 2:97, 2:98, 66:4Lane's Lexicon,   Volume 2, page:    9,    10,    11"
Jiim-Ba-Ta ," The idol/idols. The name of a certain idol. That which is   worshipped instead of God whatever it may be. He/that wherein is no good. The   diviner/enchanter/devil/satan. From the devil.jibt n.m. 4:51Lane's Lexicon,   Volume 2, page:    9"
Jiim-Ba-Ya ," He collected (e.g. water/tax). A mode/manner of collecting.   He chose it/selected it for himself. He returned/receded/retreated/went back.   Collecting in a way of choice/selection (i.e. God blessing Solomon more than   others etc.) He forged/produced/invented it. Water collected. A watering   trough in which water is collected. The place where a well is dug. What is   around a well/watering trough. Dug wells in which shoots of grape-vines are   set. A collector of water for camels. Locust (it collects everything by eating   it), A company of men.jaba vb. (1)  impf. pass. 28:57jawabi n.f. (pl. jabiyah) 34:13ijtaba vb. (8)  perf. act. 6:87, 7:203, 16:121,   19:58, 20:122, 22:78, 68:50  impf. act. 3:179, 12:6, 42:13Lane's Lexicon,   Volume 2, page:    14,    15"
Jiim-Dal-Dal ," To cut   off a thing, to be new, to become fortunate or possessed of good fortune, to   be great or of great dignity or estimation, to be serious or in earnest, to   strive/labour/toil/exert oneself, to feel distressed or afflicted, to drip or   let fall drops (a house or tent, Bayt), make [or weave] stripes of   different colors in a garment, to contend with another respecting a thing,   relinquish or forsake, to originate or innovate a thing, to do a thing for the   first time, to renew a thing, to be easy or practical, hard or level (like a   ground free of soft spaces and clear to one's view), ascend upon the surface   of the ground, to be lost or devoid of something, one's lot in life or means   of subsistence, state of being in no need or having no wants or having few   wants, to be great/exalted/majestic, to be or have much (abounding with a   thing), to be of a great or extraordinary degree, to differ from the rest of   something [and, thus, serve as a sign or mark] such as a beaten path marked   with lines [cut by the feet of men and beast who travelled along it], to   perform an affair by a certain way or manner, to form an opinion respecting a   thing, to be renewed or replaced by new, to be cut off by the roots or   eradicated, to be quick in pace.jadd n.m. 72:3jadid n.m. 13:5, 14:19, 17:49,   17:98, 32:10, 34:7, 35:16, 50:15judad n.f. (pl. of juddah) 35:27Lane's Lexicon,   Volume 2, page:    20,    21,    22,    23"
