Root,Meanings
Kaf-Alif-Siin ," drinking-cup when there is in it something to drink. Sometimes it can refer to the drink itself, e.g. wine. If there is no beverage in it, the drinking cup is called Qadehun (root: Qaf-Dal-Ha).ka's n. f. 37:45, 52:23, 56:18, 76:5, 76:17, 78:34Lane's Lexicon, Volume 7, pages:109,110"
Kaaf-Ayn-Ba ," swell/prominent/protuberant/projection/budding (common examples include a woman's breasts), jointed-stem, fold, went away, joint/juncture/division of bones (more commonly the ankle bone), tarsus (in animals), swift, eminence/nobility/glory, anything elevated, square/cubic house/chamber, square-form.Quote from Lane's lexicon: ""a house or temple belonging to the tribe ofRabee'ah, who used to compass it, or perform circuits round it (as is done round the Kabbeh ofMekkeh)"".HansWehr - Knot, knob, node (of cane); joint, articulation, ankles, anklebone; heel (of foot or shoe) ferule; die; cube; high rank, fame, glory, honor.Everything that the male of the form fa'lun (being the representation of theCl. Arabic form in question, universally applied to all roots) can mean, so can the female (fa'latun or modernly and colloquially fa'lah), with the added meaning of emphasis that the feminization of the word gives; where it is clear that there could be intensification. The female form can be found in 5:95, 5:97. - 78:33.kabn.m. 5:6kabahn.f. 5:95, 5:97Kawa'ib (plural of ka'ib) n.f. 78:33LL, V7, p: 143, 144"
Kaf-Ba-Ba," To invert, overthrow, throw one with the face to the ground, throw face downwards, prostrate anyone on (the face), he prostrated him, he bent his head towards the ground, to fall down, turn a thing upside down.Charge/onslaught/assault, in war.kabba (vb. I) - kubba - passive. perfect.27:90akabba (vb. IV) - mukibb- active. participle. singular. accusative case. 67:22LL, V7, p: 110, 111"
Kaf-Ba-Kaf-Ba ," to prostate on the face, turn a thing upside down, be hurled/thrown into.kabkaba (vb. quad. I) - kubkibu - passive. perfect. 3rd person. masculine. 26:94"
Kaf-Ba-Dal ," hit/hurt/smote/wound his liver, affect anyone painfully (e.g. by intense cold), purpose a thing.Large/thick/big in the middle.Kabida / Yakbudu: To have complaint/pain of the liver, face difficulty, struggle against difficulty/severity/trouble, reach in the middle.Kabad plu.Akba’d : Liver; middle part; become in the middle or main part of something, Misery/Distress/Affliction/Trouble/Obstacle; Cavity of the belly; Hard struggle; Inside/Interior (e.g. of the earth); Centre; Side.kabadin - verbal noun. m. 90:4LL, V7, p: 112, 113"
Kaf-Ba-Ra ," To be hard, become hard, be grievous, grow up, be great.Kabira/Yakburu: To be exceed anyone in age, become stout and tall, grow big, become great, illustrious, become momentous (affair).kabira vb. (1)impf. act.4:6n.vb.2:266, 3:40, 14:39, 15:54, 17:23, 19:8kabura vb. (1)perf. act.6:35, 10:71, 18:5, 40:35, 42:13, 61:3impf. act.17:51n.vb.24:11, 40:56kaba'ir n.f. (pl. of kabirah)4:31, 42:37, 53:32kabir n.m. (pl. kubara, comp. adj. m. akbar, f. kubra)4:34, 13:9, 22:62, 31:30, 34:23, 40:122:45, 2:143, 2:217, 2:217, 2:217, 2:219, 2:282, 3:118, 4:2, 4:153, 6:19, 6:78, 6:123, 8:73, 9:3, 9:72, 9:121, 10:61, 11:3, 11:11, 12:78, 12:80, 16:41, 17:4, 17:9, 17:21, 17:21, 17:31, 17:43, 17:60, 17:87, 18:49, 20:23, 20:71, 21:58, 21:63, 21:103, 25:19, 25:21, 25:52, 26:49, 28:23, 29:45, 32:21, 33:47, 33:67, 33:68, 34:3, 35:7, 35:32, 39:26, 40:10, 40:57, 42:22, 43:48, 44:16, 53:18, 54:53, 57:7, 67:9, 67:12, 68:33, 74:35, 76:20, 79:20, 79:34, 85:11, 87:12, 88:24kibriya n.f.10:78, 45:37kubbar n.m.71:22kabbara vb. (2)impf. act.2:185, 22:37impv.17:111, 74:3n.vb.17:111akbara vb. (4) perf. act.12:31takabbara vb. (5)impf. act.7:146pcple. act.16:29, 39:60, 39:72, 40:27, 40:35, 40:76, 59:23istakbara vb. (10)perf. act.2:34, 2:87, 4:173, 7:36, 7:40, 7:75, 7:76, 7:88, 7:133, 10:75, 14:21, 23:46, 25:21, 28:39, 29:39, 34:31, 34:32, 34:33, 38:74, 38:75, 39:59, 40:47, 40:48, 41:15, 41:38, 45:31, 46:10, 71:7, 74:23impf. act.4:172, 5:82, 6:93, 7:48, 7:206, 16:49, 21:19, 32:!5, 37:35, 40:60, 46:20n.vb.35:43, 71:7pcple. act.16:22, 16:23, 23:67, 31:7, 45:8, 63:5LL, V7, p: 113, 114, 115"
Kaf-Ba-Ta ," To abase, throw down, restrain, overwhelm, prostrate, expose ignominy, humble, vanquish with humiliation, be laid low and humbled, cause to perish.kabata vb. (1)impf. act.3:127perf. pass.58:5, 58:5LL, V7, p: 111"
Kaf-Dal-ha ," To toil, exert, make every effort to carry out a thing, labour hard and actively, toil hard, labouring, laboriously, one who labours.kadaha vb. (1)n.vb.84:6pcple. act.84:6LL, V7, p: 123?"
Kaf-Dal-Ra ," To be muddy, be obscure, lose light, fall.inkadara vb. (7) perf. act.81:2LL, V7, p: 124, 125"
Kaf-Dal-Ya ," To restrain, detain, give little, stop hand, be niggardly.kada vb. (4) perf. act.53:34"
Kaf-Thal-Ba ," To lie, say what is not a fact, lie to falsely invent, tell lies about or against, fabricate a lie, relate a lie, say a falsehood, be wrong, be cut off, deceive, disappoint the expectation of.kathaba vb. (1)perf. act.6:24, 9:90, 11:18, 12:27, 39:32, 39:60, 53:11impf. act.2:10, 9:77, 36:15perf. pass.12:110n.vb.3:75, 3:78, 3:94, 4:50, 5:41, 5:42, 5:103, 6:21, 6:93, 6:144, 7:37, 7:89, 10:17, 10:60, 10:69, 11:18, 12:18, 16:62, 16:105, 16:116, 16:116, 16:116, 18:5, 18:15, 20:61, 23:38, 29:68, 34:8, 40:28, 42:24, 58:14, 61:7, 72:5pcple. act.3:61, 6:28, 7:66, 9:42, 9:43, 9:107, 11:27, 11:93, 12:26, 12:74, 16:39, 16:86, 16:105, 23:90, 24:7, 24:8, 24:13, 26:186, 26:223, 27:27, 28:38, 29:3, 29:12, 37:152, 39:3, 40:28, 40:37, 56:2, 58:18, 59:11, 63:1, 96:16pcple. pass.11:65kaththab n.m.38:4, 40:24, 40:28, 54:25, 54:26kaththaba vb. (2)perf. act.2:39, 2:87, 3:11, 3:184, 5:10, 5:70, 5:86, 6:5, 6:21, 6:31, 6:39, 6:49, 6:57, 6:66, 6:147, 6:148, 6:150, 6:157, 7:36, 7:37, 7:40, 7:64, 7:64, 7:72, 7:92, 7:96, 7:101, 7:136, 7:146, 7:147, 7:176, 7:177, 7:182, 8:54, 10:17, 10:39, 10:39, 10:41, 10:45, 10:73, 10:74, 10:95, 15:80, 16:113, 17:59, 20:48, 20:56, 21:77, 22:42, 22:57, 23:26, 23:33, 23:39, 23:44, 23:48, 25:11, 25:11, 25:19, 25:36, 25:37, 25:77, 26:6, 26:105, 26:117, 26:123, 26:139, 26:141, 26:160, 26:176, 26:189, 27:84, 29:18, 29:37, 29:68, 30:10, 30:16, 34:45, 34:45, 35:25, 36:14, 37:127, 38:12, 38:14, 39:25, 39:32, 39:59, 40:5, 40:70, 50:5, 50:12, 50:14, 54:3, 54:9, 54:18, 54:23, 54:33, 54:42, 57:19, 62:5, 64:10, 67:9, 67:18, 69:4, 75:32, 78:28, 79:21, 91:11, 91:14, 92:9, 92:16, 96:13impf. act.6:27, 6:33, 22:42, 23:105, 26:12, 27:83, 28:34, 29:18, 32:20, 34:42, 35:4, 35:25, 37:21, 52:14, 55:13, 55:16, 55:18, 55:21, 55:23, 55:25, 55:28, 55:30, 55:32, 55:34, 55:36, 55:38, 55:40, 55:42, 55:43, 55:45, 55:47, 55:49, 55:51, 55:53, 55:55, 55:57, 55:59, 55:61, 55:63, 55:65, 55:67, 55:69, 55:71, 55:73, 55:75, 55:75, 55:77, 56:82, 68:44, 74:46, 77:29, 82:9, 83:11, 83:12, 83:17, 84:22, 95:7, 107:1perf. pass.3:184, 6:34, 6:34, 22:44, 35:4n.vb. (1)85:19n.vb. (2)78:28, 78:35pcple. act.3:137, 6:11, 16:36, 43:25, 52:11, 56:51, 56:92, 68:8, 69:49, 73:11, 77:15, 77:19, 77:24, 77:28, 77:34, 77:37, 77:40, 77:45, 77:47, 77:49,83:10LL, V7, p:125,126,127,128"
Kaf-Fa-Alif ," To equal, compare.Kufuwan:  Equal, like comparable; corresponding.kufu n.m.112:4LL, V7, p: 145, 146"
Kaf-Fa-Fa ," To withhold, desist, refrain from, withdraw, keep back, hold out the hand.kaffa vb. (1)perf. act.5:11, 5:110, 48:20, 48:24impf. act.4:84, 4:91, 21:39impv.4:77kaff n.f.13:14, 18:42kaffah n.f.2:208, 9:36, 9:36, 9:122, 34:28LL, V7, p: 145, 146"
Kaf-Fa-Lam ," To take care of, nourish, bring up for another, be guardian of, be responsible for, entrust, stand security or surety.kafala vb. (1)impf. act.3:44, 20:40, 28:12kafil n.m.16:91kifl n.m.4:85, 57:28dhu al-kifl n.21:85, 38:48kaffala vb. (2) perf. act.3:37akfala vb. (4) impv.38:23LL, V8, p:255"
