Root,Meanings
Kh-Ba-Alif ," Hide/Conceal, To keep it, Preserve/Guard, To take care of a thing, Reposit, Store in a place of safety, Hidden/Absent.khaba'a vb. (1) n.vb. 27:25Lane's Lexicon, Volume 2, pages:328,329"
Kh-Ba-Lam ," To be or become corrupted, unsound, vitiated or disordered in intellect or reason, become possessed or insane, be lost, cut off, deprived of heart or reason. Prevent or hinder from doing a thing. Affliction/trouble/difficulty/distress/fatigue.Seek to corrupt, render unsound, occasioning to agitation like that of possession or insanity, by disease affecting the reason and thought.Difficulty in people in which they see not happiness.Egregious stupidity or foolishness, heedlessness or weakness of intellect, state of perdition or destruction. Disordered in the legs so as not to know how to walk.Going/passing/wasting away, being consumed or destroyed.To lend. Jinn, devil, mankind.khabal n.m. 3:118, 9:47LL, V2, p: 335,336"
Kh-Ba-Ra ," To know/possess, have knowledge of a thing, to know a thing with respect to it's internal or real state, informed/acquainted.Knowledge of the secret internal state or as some say of secret internal circumstances or properties.Also to try, prove or test things, having experience.News/tidings/information/notification/narration/story/account.khabara vb. (1)n.vb. 18:68, 19:91khabar n.m. (pl. akhbar) 9:94, 27:7, 28:29, 47:31, 99:4khabir n.m. 2:234, 2:271, 3:153, 3:180, 4:35, 4:94, 4:128, 4:135, 5:8, 6:18, 6:73, 6:103, 9:16, 11:1, 11:111, 17:17, 17:30, 17:96, 22:63, 24:30, 24:53, 25:58, 25:59, 27:88, 31:16, 31:29, 31:34, 33:2, 33:34, 34:1, 35:14, 35:31, 42:27, 48:11, 49:13, 57:10, 58:3, 58:11, 58:13, 59:18, 63:11, 64:8, 66:3, 67:14, 100:11LL, V2, p: 331,332,333"
Kh-Ba-Ta ," became concealed/obscure or of no reputation, lowly/humble/submissive/obedient, to humble one's self, to abase one's self, still/motionless.akhbata vb. (4)perf. act. 11:23impf. act. 22:54pcple. act. 22:34LL, V2, p: 329"
Kh-Ba-Tha ," bad/foul/abominable/corrupt/wicked/deceitful, guileful/artful/crafty/cunning, malignant/noxious, impure/unclean/filthy, depraved/disapproved/hated/unlawful/disagreeable/culpable/disobedient, the worst or most wicked, evil.khabutha vb. (1)perf. act. 7:58khaba'ith n.f. (pl. of khabithah) 7:157, 21:74khabith n.m. 2:267, 3:179, 4:2, 5:100, 5:100, 8:37, 8:37, 14:26, 14:26, 24:26, 24:26, 24:26, 24:26Lane's Lexicon, Volume 2, pages:329,330,331"
Kh-Ba-Tay ," To strike/beat vehemently (e.g. with the fore foot hind foot), to prosecute, to be confounded/perplexed, to journey withoutdirection, hold communion with someone, touch with a hurt so as to corrupt/disorder and render one insane, to be agitated/disturbed,to be still/motionless.takhabbata vb. (5) perf. act. 2:275LL, V2, p: 333,334,335"
Kh-Ba-Waw ," To be extinguished/subsided/allayed/appeased.khaba vb. (1) perf. act. 17:97LL, V2, p: 337"
Kh-Ba-Zay ," To feed with bread, to make or knead bread, he beat him or it.khubz n.m. 12:36LL, V2, p: 333"
Kh-Dal-Ayn ," To hide/conceal, double or fold, decieve or outwit, pretend, to enter, vary in state/condition, refrain or refuse, relinquish, to be in little demand of, deviate from the right course, resist/unyield/incompliant, turn away and behave proudly.khada'a vb. (1)impf. act. 2:9, 8:62pcple. act. 4:142khada'a vb. (3) impf. act. 2:9, 4:142LL, V2, p: 344,345,346,347"
Kh-Dal-Dal ," To furrow/trench/clave, to mark or impress, to contract/shrink/wrinkle, to oppose, divide into distinct parties, to rank or class.khadd n.m. 31:18ukhdud n.m. 85:4LL, V2, p: 341,342"
Kh-Dal-Nun ," To befriend, keep company, associate in secrecy or privacy, to converse/talk with.akhdan n.m. (pl. of khidn) 4:25, 5:5LL, V2, p: 348"
