Root,Meanings
Miim-Alif-Ya ," hundredmi'ah n.f. 2:259, 2:259, 2:261, 8:65, 8:65, 8:66, 8:66,18:25, 24:2, 37:147"
Miim-Ayn-Nun ," charity, small kindness, neighbourly needs, succourma'un n.m. 107:7LL, V8, p: 276"
Miim-Ayn-Ya ," A narrow and depressed place; bowels or intestines into which food passes from the stomach.am'a n.com. (pl. of ma'y) 47:15LL, V8, p: 276"
Miim-Ayn-Zay ," To be hard, to be abundant in goatsma'z n.m. 6:143LL, V7, p: 252"
Miim-Dal-Dal ," to draw a thing (namely a rope), pull a thing, stretch a thing, strain a thing, extend by drawing or pulling, stretch forth, to prolong, expand/elongate/lengthen a thing, spread or spread out, delay or defer a thing, continue a thing, to help or aid someone, to advance, to increase, to supply ink (put ink into a thing), apply ink to a thing, manure land (with dung).madda vb. (1)perf. act. 13:3, 15:19, 25:45, 50:7impf. act. 2:15, 7:202, 15:88, 19:75, 19:79, 20:131,22:15, 31:27impv. 84:3n.vb. 19:75, 19:79pcple. pass. 56:30, 74:12madad n.m. 18:109midad n.m. 18:109muddah n.f. 9:4maddada vb. (2)pcple. pass. 104:9amadda vb. (4)perf. act. 17:6, 26:132, 26:133, 52:22impf. act. 3:124, 3:125, 17:20, 23:55, 27:36, 71:12pcple. act. 8:9LL, V7, p: 223, 224, 225, 226"
Miim-Dal-Nun ," citymadinah n.f. (pl. mada'in) 7:111, 7:123, 9:101, 9:120, 12:30, 15:67,18:19, 18:82, 26:36, 26:53, 27:48, 28:15, 28:18, 28:20, 33:60, 36:20, 63:8madyan (noun, proper) - Midian7:85, 9:70, 11:84, 11:95, 20:40, 22:44, 28:22, 28:23, 28:45, 29:36LL, V7, p: 272"
Miim-Dad-Ghayn ," A piece or bit of flesh, a morsel or gobbet of flesh; heart and tongue of a person; a foetus when it becomes like a lump of flesh.mudghah n.f. 22:5, 23:14, 23:14LL, V8, p: 275"
Miim-Dad-Ya ," To advance or proceed, pass/pass away, go or go away, press onward, execute/perform/accomplish a thing, to be sharp, to cut or penetrate, excel or surpass in doing a thing.mada vb. (1)perf. act. 8:38, 43:8impf. act. 18:60impv. 15:65n.vb. 36:67LL, V8, p: 275"
Miim-ha-Dal ," To make a place or thing plain or even or smooth, to prepare or establish, to gain or earn, seek to gain, to work for oneself, to spread or be spread (namely a bed).mahada vb. (1)impf. act. 30:44pcple. act. 51:48mahd n.m. 3:46, 5:110, 19:29, 20:53, 43:10mihad n.m. 2:206, 3:12, 3:197, 7:41, 13:18, 38:56, 78:6mahhada vb. (2)perf. act. 74:14n.vb. 74:14LL, V7, p: 267, 268"
Miim-ha-Lam ," To act gently or softly, act in a leisurely manner, leave one alone or grant one delay or respite.muhl n.m. 18:29, 44:45, 70:8mahhala vb. (2) impv. 73:11, 86:17amhala vb. (4) impv. 86:17LL, V8, p: 279"
Miim-ha-Nun ," To use a thing for service or work, hold a thing in mean estimation, to be contemptible or abject, to be weak, have little judgement and discrimination.mahin n.m. 32:8, 43:52, 68:10, 77:20LL, V8, p: 279"
Miim-Ha-Lam ," To labour skillfully, excercise art or management.mahala vb. (1)n. vb. mihal 13:13LL, V8, p: 272"
Miim-Ha-Nun ," to test/tryimtahana vb. (8)perf. act. 49:3impv. 60:10LL, V8, p: 272"
Miim-Ha-Qaf ," To render a thing deficient and deprive it of its blessing or increase, annihilate/annull/obliterate a thing, do away with a thing wholly so that no trace of it remains.mahaqa vb. (1) impf. act. 2:276, 3:141LL, V8, p:272."
Miim-Ha-Sad ," To be clear/pure/free from admixture or imperfection, run vehemently or vigorously, to be quick or swift in running.mahhasa vb. (2) impf. act. 3:141, 3:154LL, V7, p: 219, 220"
Miim-Ha-Waw ," To efface or erase a thing, to obliterate/cancel/remove/do away with a thing, to dispell a thing.maha vb. (1)perf. act. 17:12impf. act. 13:39, 42:24LL, V8, p: 272"
