Root,Meanings
Nun ," 68:1  Lane's Lexicon, Volume 8, page:    5"
Nun-Alif-Ya   ," to remove, be remote, turn away, keep anyone aloof, avert, retire.na'a vb. (1)  perf. act. 17:83, 41:51  impf. act. 6:26         Lane's Lexicon, Volume 8, pages:    5,    281"
Nun-Ayn-Jiim   ," to go quickly, be very white, eat the flesh of sheep/ewe, ewe/sheep.najah n.f. (pl. ni'aj) 38:23, 38:23, 38:24,   38:24  Lane's Lexicon, Volume 8, page:    68,    69"
Nun-Ayn-Lam   ," to give shoes to anyone. The command in the verse 20:12 to take off your   shoes can be taken as a metaphorical expression for making the heart vacant   from worldly relations.na'l n.f. dual. 20:12  Lane's Lexicon, Volume 8, pages:    289"
Nun-Ayn-Miim   ," to lead an easy life, enjoy the comforts and conveniences of life, be   joyful, comforts/delights. in'aam - beneficence, favour to a person, gifted   (with speech/talent/reason etc). na'ima vb. (1) pcple.   act. f. 88:8ni'ma (an irregular   verb that appears only in the 3rd person singular) 2:271, 3:136, 3:173,   4:58, 8:40, 8:40, 13:24, 16:30, 18:31, 22:78, 29:58, 37:75, 38:30, 38:44,   39:74, 51:48, 77:23na'am n.m. (pl. an'am) 3:14, 4:119, 5:1,   5:95, 6:136, 6:138, 6:138, 6:138, 6:139, 6:142, 7:179, 10:24, 16:5, 16:66,   16:80, 20:54, 22:28, 22:30, 22:34, 23:21, 25:44, 25:49, 26:133, 32:27, 35:28,   36:71, 39:6, 40:79, 42:11, 43:12, 47:12, 79:33, 80:32na'ma n.f. 11:10na'im n.m. 5:65, 9:21, 10:9,   22:56, 26:85, 31:8, 37:43, 52:17, 56:12, 56:89, 68:34, 70:38, 76:20, 82:13,   83:22, 83:24, 102:8na'mah n.f. 44:27, 73:11ni'mah n.f. (pl. an'um) 2:40, 2:47, 2:122,   2:150, 2:211, 2:231, 3:103, 3:103, 3:171, 3:174, 5:3, 5:6, 5:7, 5:11, 5:20,   5:110, 8:53, 12:6, 14:6, 14:28, 14:34, 16:18, 16:53, 16:71, 16:72, 16:81,   16:83, 16:112, 16:114, 16:121, 26:22, 27:19, 29:67, 31:20, 31:31, 33:9, 35:3,   37:57, 39:8, 39:49, 43:13, 46:15, 48:2, 49:8, 52:29, 54:35, 68:2, 68:49,   92:19, 93:11na'ama vb. (2) perf.   act. 89:15an'ama vb. (4) perf.   act. 1:7, 2:40, 2:47,   2:122, 4:69, 4:72, 5:23, 8:53, 17:83, 19:58, 27:19, 28:17, 33:37, 33:37,   41:51, 43:59, 46:15  Lane's Lexicon, Volume 8, pages:    289,  290"
Nun-Ayn-Qaf   ," to cry out to (sheep), bleat, call out.na'aqa vb. (1) impf.   act. 2:171  Lane's Lexicon, Volume 8, pages:    288,  289"
Nun-Ayn-Siin   ," to drowse, doze, be weak, be somnolent.na'asa vb. (1) n.vb. 3:154, 8:11  Lane's Lexicon, Volume 8, pages:    69,  70"
Nun-Ba-Alif   (root of nabi) ," to be high, lofty, become   exalted/elevated, to aquaint/inform, utter in a   low voice/sound, cry, bark, gift of prophecy, prophet.  To come/go forth, to assault/come upon, went forth, brought/produce.  Information; a piece of information; intellegence;   an announcement; news; tidings; a piece of news; an account; a narrative, or   narration; a story (something that is related from one to another). An   announcement of great utility, from which results either knowledge or a   predominance of opinion, and true.Eminence/protuberence in the   ground/earth.An evident/clear way.  Bull, a torrent that comes forth from another land, a man coming forth   unexpectedly from an unknown quarter.  naban.m. (pl. of anba) -   news/tiding/story/tale  3:44, 5:27, 6:5, 6:34, 6:67, 7:101, 7:175, 9:70, 10:71, 11:49, 11:100, 11:120,   12:102, 14:9, 18:13, 20:99, 26:6, 26:69, 27:22, 28:3, 28:66, 33:20, 38:21,   38:67, 38:88, 49:6, 54:4, 64:5, 78:2  nabiyn.m. (pl. nabiyun and  anbiya) - prophet, the prophet (al-nabiy)  2:61, 2:91, 2:136, 2:177, 2:213, 2:246, 2:247, 2:248, 3:21, 3:39, 3:68, 3:80,   3:81, 3:84, 3:112, 3:146, 3:161, 3:181, 4:69, 4:155, 4:163, 5:20, 5:44, 5:81,   6:112, 7:94, 7:157, 7:158, 8:64, 8:65, 8:67, 8:70, 9:61, 9:73, 9:113, 9:117,   17:55, 19:30, 19:41, 19:49, 19:51, 19:53, 19:54, 19:56, 19:58, 22:52, 25:31,   33:1, 33:6, 33:7, 33:13, 33:28, 33:30, 33:32, 33:38, 33:40, 33:45, 33:50,   33:53, 33:56, 33:59, 37:112, 39:69, 43:6, 43:7, 49:2, 60:12, 65:1, 66:1, 66:3,   66:8, 66:9nubuwahn.f. - prophecy/prophethood  3:79, 6:89, 29:27, 45:16, 57:26nabba'a   vb. (II) - to tellperf.act. 9:94, 12:37, 66:3  impf. act. 3:15, 3:49, 5:14, 5:48, 5:60,   5:105, 6:60, 6:108, 6:159, 6:164, 9:64, 9:94, 9:105, 10:18, 10:23, 12:15,   12:45, 13:33, 18:78, 18:103, 22:72, 24:64, 26:221, 29:8, 31:15, 31:23, 34:7,   35:14, 39:7, 41:50, 58:6, 58:7, 62:8impv. 6:143, 12:36, 15:49,   15:51, 54:28  impf. pass. 53:36, 64:7, 75:13anba'a   vb. (IV) - to tellperf.act. 2:33, 66:3impv. 2:31, 2:33istanba'a   vb. (X) - to ask or be told  impf.act. 10:53   Lane's Lexicon, Volume 8, pages:    6,  7"
Nun-Ba-Ayn   ," to spring, gush/issue forth, flow out, emerge.yanbu n.m. (pl. yanabi) 17:90, 39:21  Lane's Lexicon, Volume 8, pages:    281"
Nun-Ba-Dhal/Thal   ," to throw, fling, give up, cast off, reject, throw a thing because of its   worthlessness or not taking into account.nabadha vb. (1)  perf. act. 2:100, 2:101, 3:187,   20:96, 28:40, 37:145, 51:40  impv. 8:58  perf. pass. 68:49  impf. pass. 104:4intabadha vb. (8) perf.   act. 19:16, 19:22  Lane's Lexicon, Volume 8, pages:    10,  11"
