Root,Meanings
Qaf ," 50:1 Lane's Lexicon, Volume 7, pages: 5"
Qaf-Ayn-Dal ,"   to sit down, remain behind, to hold back, to tarry, lie in wait, sit still,   remain unmoved, desist, abstain, refrain, lurk in ambush, set snares, neglect,   act of sitting, foundations/bases, women who are past child bearing age, elderly   spinsters past child bearing age, one who sits at home, one who sits still,   seat or place of sitting, station, encampment.qa'ada vb.   (I) - perf. act. 3:168, 9:90,impf. act. 4:140, 6:68, 7:16, 7:86, 17:22, 17:29,   72:9,impv. 9:5, 9:46, 9:83,n. vb. 3:191, 4:103, 9:83,pcple. act. (qa'id,   pl. qu'ud) 4:95, 5:24, 9:46, 9:86, 10:12, 85:6,maq'ad n.m. (pl.   maqa'id) 3:121, 9:81, 54:55, 72:9,qa'id n.compound. (adj.) 50:17,qawa'id n.f. (pl. of qa'idah) 2:127, 16:26, 24:60LL, V7, p: 72, 73, 74, 75"
Qaf-Ayn-Ra ," to dig deep, descend, sink, reach the bottom, cut empty, cut from the root, crush. taqa'ara - to be hollow, deep, felled. inqa'ara - to be uprooted. munqa'ir - that which is torn up by the roots, uprooted one, uprooted and hallowed.inqa'ara vb. (7) m. sing. pcple. act. 54:20LL, V7, p: 75, 76"
Qaf-Ba-Daad   ," take with hand by actual touch/feel, close, grasp, clutch, seize, contract/draw/collect   together, take posession, with reference to birds "
Qaf-Ba-Ha ," to abhor/disapprove, render ugly, be ugly/hideous/foul/abominable. maqbuhun - abhorred, rendered loathsome, hateful, shameful, deprived of all good, removed or driven from good, bereft.qabaha vb. (1) pcple. pass. 28:42LL, V7, p: 7, 8"
Qaf-Ba-Lam   ," to accept/admit/receive/agree, meet anyone, to face/encounter someone/something,   advance/approach, correspond, counteract/compare/requite/compensate, the front   part (12:26), accept with approval, show favour.qablu - before/formerly,qubulun - the fore-part, face to face, before, plural of qabilum,qibalun - power, side, part,qiblah - towards, in the direction of, facing, alongside,qiblatun - anything before, opposite, the point in the direction of which   prayer is performed, the Ka'bah at Makkah, a place of worship,qabulun - favourable reception, gracious acceptance,qabilun - tribe, host, plural qabilatun,qabailun - tribe,aqbala - to come near, draw near, approach, turn towards, rush upon,taqabbala - to accept,mutaqabilun - opposite to, facing one another,mustaqbilun - proceeding towards, heading towards.qabila vb. (1)impf. act. 9:104, 24:4, 42:25impf. pass. 2:48, 2:123, 3:85, 3:90, 3:91, 9:54n.vb. 3:37pcple. act. 40:3qabil  n.f. (pl. qaba'il) 7:27, 49:13qabil n.m. 17:92qibal n.m. or preposition. 2:177, 27:37, 57:13, 70:36qiblah n.f. 2:142, 2:143, 2:144, 2:145, 2:145, 2:145, 10:87qubul n.m. 6:111, 12:26, 18:55aqbala vb. (4)perf. act. 12:71, 12:82, 37:27, 37:50, 37:94, 51:29, 52:25, 68:30impv. 28:31taqabbala vb. (5)perf. act. 3:37impf. act. 5:27, 46:16impv. 2:127, 3:35, 14:40perf. pass. 5:27, 5:36impf. pass. 5:27, 9:53taqabala vb. (6) pcple. act. 15:47, 37:44, 44:53, 56:16istaqbala vb. (10) pcple. act. 46:24LL, V8, p: 237, 238"
Qaf-Ba-Ra ," to bury (the dead). aqbara - to cause to be buried, have a grave day, have anyone buried. Grave, tomb, intermediate state in which the soul lives after death till the resurrection. maqabir - cemetery, place of burying.maqabir n.f. (pl. of maqbarah) - 102:2qabr n.m. (pl. qubur) - 9:84, 22:7, 35:22, 60:13, 82:4, 100:9aqbara vb. (4) perf. act. 80:21LL, V7, p: 8"
Qaf-Ba-Siin ," to ask or take fire, learn, teach, catch, get a light from another. qabas - burning stick, fire brand, burning brand. iqtabsa (vb. 8) - to take light from another.qabas n.m. 20:10, 27:7iqtabassa vb. (8) perf. act. 57:13LL, V7, p: 8, 9"
Qaf-Dal-Dal ," to rend, cut, tear, pull sharply apart. qaddat - she rent. qidad - parties of men at variance among themselves, companies of diverse and different (way).qadda vb. (1)perf. act. 12:25perf. pass. 12:26, 12:27, 12:28qidad n.f. (pl. of qiddah) 72:11LL, V7, p: 17, 18, 19, 20"
Qaf-Dal-ha ,qadaha vb. (1) n.vb. 100:2
