Root,Meanings
Siin-Alif-Lam ," to ask/interrogate/inquire/question/demand/pray/beg, a thing asked, a question/proposition/problem/petition/request, beggar, that which is demanded or inquired into, asked, questioned, responsible.sa'ala vb. (1)perf. act. 2:61, 2:186, 4:153, 5:102, 9:65, 10:72, 14:34, 18:76, 29:61, 29:63, 31:25, 33:53, 34:47, 39:38, 43:9, 43:87, 67:8, 70:1impf. act. 2:108, 2:189, 2:215, 2:217, 2:219, 2:219, 2:220, 2:222, 2:273, 4:153, 5:4, 5:101, 5:101, 6:90, 7:6, 7:6, 7:187, 7:187, 8:1, 11:29, 11:46, 11:47, 11:51, 12:104, 15:92, 17:85, 18:70, 18:83, 20:105, 20:132, 23:72, 25:57, 26:109, 26:127, 26:145, 26:164, 26:180, 33:8, 33:20, 33:63, 36:21, 38:86, 42:23, 47:36, 47:37, 51:12, 52:40, 55:29, 60:10, 68:46, 70:10, 75:6, 79:42impv. 2:211, 4:32, 7:163, 10:94, 12:50, 12:82, 16:43, 17:101, 21:7, 21:63, 23:113, 25:59, 33:53, 43:45, 60:10, 68:40perf. pass. 2:108, 33:14, 81:8impf. pass. 2:119, 2:134, 2:141, 16:56, 16:93, 21:13, 21:23, 28:78, 29:13, 34:25, 34:25, 43:19, 43:44, 55:39, 102:8n.vb. 38:24pcple. act. 2:177, 12:7, 41:10, 51:19, 70:1, 70:25, 93:10pcple. pass. 17:34, 17:36, 25:16, 33:15, 37:24sul n.m. 20:36tasa'ala vb. (6) impf. act. 4:1, 18:19, 23:101, 28:66, 37:27, 37:50, 52:25, 74:40, 78:1Lane's Lexicon, Volume 4, pages: 6,7,8"
Siin-Alif-Miim ," turn away in disgust, be averse, disgusted/loathed/nauseated it, have little patience, to feel disclaim/dislike/scorn, weary/tire.saima vb. (1) impf. act. 2:282, 41:38, 41:49LL, V4, p:8"
Siin-Ayn-Dal ," to be prosperous/blessed/happy/auspicious/fortunate/lucky, be in a state of felicity, thrive, aid/assist/help, accommodated/adapted/disposed him to the right course, one who is blessed. sa'ida vb. (1) perf. pass. 11:108sa'id n.m. (adj) 11:105LL, V4, p:84,85,86,87"
Siin-Ayn-Ra ," to light/kindle a fire, made it burn, provoke mischief, to be blasted, fire/blaze/heat/hell/flame, madness/insanity/possessed/demonic, vehement hunger/thirst.sa'ir n.f. 4:10, 4:55, 17:97, 22:4, 25:11, 31:21, 33:64, 34:12, 35:6, 42:7, 48:13, 67:5, 67:10, 67:11, 76:4, 84:12su'ur n.m. 54:24, 54:47sa'ara vb. (2) perf. pass. 81:12LL, V4, p:87,88"
Siin-Ayn-Ya ," he walked or went along, to strive/exert/labour/work, go quickly, effort, endeavour, hasten/act/run, be active, diligent, age of running or work and assist (child). sa'a vb. (1)perf. act. 2:114, 2:205, 17:19, 22:51, 34:5, 53:39, 79:35impf. act. 5:33, 5:64, 20:15, 20:20, 20:66, 28:20, 34:38, 36:20, 57:12, 66:8, 79:22, 80:8impv. 62:9n.vb. 2:260, 17:19, 17:19, 18:104, 21:94, 37:102, 53:40, 76:22, 88:9, 92:4LL, V4, p:90,91"
Siin-Ba-Alif ,"saba n.prop. 27:22, 34:15LL, V4, p:10,11"
Siin-Ba-Ayn ," to make a number up to seven, be the seventh of, seven (sub'un), seventy (sab'ina), sometimes used in a vague manner as meaning seven or more and seventeen or more or several or many. The Arabic equivalents of the numbers seven, seventy and seven hundred are all used to indicate a large number by the Arabs and for multiplicity, not indicating exactness in number. Devour/kill/bite, beast, bird of prey.  sab'ah n.num. 2:29, 2:196, 2:261, 12:43, 12:43, 12:43, 12:46, 12:46, 12:46, 12:47, 12:48, 15:44, 15:87, 17:44, 18:22, 23:17, 23:86, 31:27, 41:12, 65:12, 67:3, 69:7, 71:15, 78:12sab'un n.num. 7:155, 9:80, 69:32sabu n.m. 5:3LL, V4, p:20,21,22"
Siin-Ba-Ba ," to find the means of, occasion a thing, seek a living, be the cause of, use a thing as means for, rope, cause, occasion, way, means, road, account, love, relationship/connection/tie.sabba vb. (1) impf. act. 6:108, 6:108sabab n.m. (pl. asbab) 2:166, 18:84, 18:85, 18:89, 18:92, 22:15, 38:10, 40:36, 40:37LL, V4, p:8,9,10"
Siin-Ba-Gh ," to be full/abundant, extend/enlarge/copious/ample/long/wide, coat of mail that is wide/ample/long, from above to below, without deficiency, plentifulness/pleasantness/easiness/softness (e.g. of life), complete.sabighah n.f. pl. 34:11asbagha vb. (4) perf. act. 31:20LL, V4, p:22,23"
Siin-Ba-Ha ," to swim, roll onwards, perform a daily course, float, the act of swimming, chain of business, those who are floating, went/travel far, being quick/swift. To praise/glorify/hollow/magnify, sing/celebrate praise, holy, declaring God to be far removed or free for every imperfection/impurity.[[PRL editor note: sabih is only used to/for God in 'al quran']]sabaha vb. (1) impf. act. 21:33, 36:40n.vb. 73:7, 79:3pcple. act. 79:3subhan n.m. 2:32, 2:116, 3:191, 4:171, 5:116, 6:100, 7:143, 9:31, 10:10, 10:18, 10:68, 12:108, 16:1, 16:57, 17:1, 17:43, 17:93, 17:108, 19:35, 21:22, 21:26, 21:87, 23:91, 24:16, 25:18, 27:8, 28:68, 30:17, 30:40, 34:41, 36:36, 36:83, 37:159, 37:180, 39:4, 39:67, 43:13, 43:82, 52:43, 59:23, 68:29sabbaha vb. (2)perf. act. 32:15, 57:1, 59:1, 61:1impf. act. 2:30, 7:206, 13:13, 17:44, 17:44, 20:33, 21:20, 21:79, 24:36, 24:41, 38:18, 39:75, 40:7, 41:38, 42:5, 48:9, 59:24, 62:1, 64:1, 68:28impv. 3:41, 15:98, 19:11, 20:130, 20:130, 25:58, 33:42, 40:55, 50:39, 50:40, 52:48, 52:49, 56:74, 56:96, 69:52, 76:26, 87:1, 110:3n.vb. 17:44, 24:41pcple. act. 37:143, 37:166LL, V4, p:13,14,15"
Siin-Ba-Lam ," cause, reason, way/path/road, necessity, means of access, responsibility, method/manner, plea to allege.fi sabil Allah - in the way of Allah, in the cause of Allah, to carry the message of Allah.ibn al-sabil - traveller, way farer, forlorn traveller.salsabil - It is made up of two words: sal (ask, enquire about) &sabil (way), salsala - easy, sweet, rapid flowing water. As if it meant 'Inquiring ask your Lord the way to that sweet, easy palatable and rapid flowing fountain'. It is the name of a fountain of heaven. sabil n.com. (pl. subul) 2:108, 2:154, 2:177, 2:190, 2:195, 2:215, 2:217, 2:218, 2:244, 2:246, 2:246, 2:261, 2:262, 2:273, 3:13, 3:75, 3:97, 3:99, 3:146, 3:157, 3:167, 3:169, 3:195, 4:15, 4:22, 4:34, 4:36, 4:43, 4:44, 4:51, 4:74, 4:74, 4:75, 4:76, 4:76, 4:84, 4:88, 4:89, 4:90, 4:94, 4:95, 4:98, 4:100, 4:115, 4:137, 4:141, 4:143, 4:150, 4:160, 4:167, 5:12, 5:16, 5:35, 5:54, 5:60, 5:77, 6:55, 6:166, 6:117, 6:153, 6:153, 7:45, 7:86, 7:142, 7:146, 7:146, 7:146, 7:146, 7:1488:36, 8:41, 8:47, 8:60, 8:72, 8:74, 9:5, 9:9, 9:19, 9:20, 9:24, 9:34, 9:34, 9:38, 9:41, 9:60, 9:60, 9:81, 9:91, 9:93, 9:111, 9:120, 10:88, 10:89, 11:19, 12:108, 13:33, 14:3, 14:12, 14:30, 15:76, 16:9, 16:15, 16:69, 16:88, 16:94, 16:125, 16:125, 17:26, 17:32, 17:42, 17:48, 17:72, 17:84, 17:110, 18:61, 18:63, 20:53, 21:31, 22:9, 22:25, 22:58, 24:22, 25:9, 25:17, 25:27, 25:34, 25:42, 25:44, 25:57, 27:24, 28:22, 29:12, 29:29, 29:38, 29:69, 30:38, 31:6, 31:15, 33:4, 33:67, 38:26, 38:26, 39:8, 40:7, 40:11, 40:29, 40:37, 40:38, 42:41, 42:42, 42:44, 42:46, 43:10, 43:37, 47:1, 47:4, 47:32, 47:34, 47:38, 49:15, 53:30, 57:10, 58:16, 59:7, 60:1, 60:1, 61:4, 61:11, 63:2, 68:7, 71:20, 73:19, 73:20, 76:3, 76:29, 80:20salsabil n.prop. 76:18LL, V4, p:25,26,27"
Siin-Ba-Qaf ," to be in advance, go/pass before, surpass, get the better of, get in advance, precede, overtake, come first to the goal, outstrip, overcome, go forth previously, escape, go speedily, go first, race/strive/excel, prevent, the act of advancing. One who precedes or outstrips in race, foremost.masbuq - one who is surpassed or beaten or is out run in a race. sabaqa vb. (1)perf. act. 7:80, 8:59, 8:68, 10:19, 11:40, 11:110, 20:99, 20:129, 21:101, 23:27, 29:28, 37:171, 41:45, 42:14, 46:11, 59:10impf. act. 15:5, 21:27, 23:43, 29:4n.vb. 79:4pcple. act. 9:100, 23:61, 29:39, 35:32, 36:40, 56:10, 56:10, 79:4pcple. pass. 56:60, 70:41sabaqa vb. (3) impv. 57:21istabaqa vb. (8)perf. act. 12:25, 36:66impf. act. 12:17impv. 2:148, 5:48LL, V4, p:23,24"
Siin-Ba-Ta ," to take rest, cease from work, repose, keep the Sabbath, be confused/perplexed/confounded, cut, stop, sleep, unfold, Sabbath-day, week, addicted to sleep, rest/lethargic/motionless.sabata vb. (1) impf. act. 7:163sabt n.prop. 2:65, 4:47, 4:154, 7:163, 7:163, 16:124subat n.m. 25:47, 78:9LL, V4, p:11,12,13"
Siin-Ba-Tay ," To be lank (hair), loose, have branches. To become extended or stretched [he fell on the ground, and became extended or stretched, in consequence of being beaten, or from disease], upon the ground, in consequence of being beaten. Particularly distinguished, and choiciest of children. A man, one of the fathers of tribes, tree having many branches [where the father signifies the tree and his children the branches]. asbat - Tree having many branches, grandson, tribe.asbat n.m. (pl. of sibt) 2:136, 2:140, 3:84, 4:163, 7:160LL, V4, p:18,19"
Siin-Dal ," to make barrier, partition, rampart, obstacle, bar/stop/close/obstruct/dam/shut, a thing with which a breach/gap is stopped/closed.sadd n.m. 18:93, 18:94, 36:9, 36:9Siin-Dal-Dal "
Siin-Dal-Ra ," to rend (a garment), hang or let down a garment, lose (one's hair), be dazzled/confounded/perplexed, be dazzled by a thing at which one looked.sidratun - Lote-tree. when the shade of lote-tree becomes dense and crowded it is very pleasant and in the hot and dry climate of Arabia the tired and fatigued travelers take shelter and find rest under it and thus it is made to serve as a parable for the shade of paradise and its blessings on account of the ampleness of its shadow. The qualification of sidrah by the word al-muntaha shows that it is a place beyond which human knowledge does not go.sidrah n.f. (pl. sidrun) 34:16, 53:14, 53:16, 56:28LL, V4, p:55,56"
Siin-Dal-Siin ," to take a sixth part, be the six, make up the number six, one sixth.sadis n.num. 18:22, 58:7suds n.num. 4:11, 4:11, 4:12LL, V4, p:56"
Siin-Dal-Ya ," at will , in vain.suda n.m. (adv) 75:36LL, V4, p:59,60"
Siin-Fa-Ayn ," to smote/burn/blacken/tinge, to drag, slap/struck/beat, strike with the wings (when fighting), charge upon, assault/attack.safa'a vb. (1) acc. impf. act. 1st. pl. 96:15LL, V4, p:96,97"
Siin-Fa-ha ," to be foolish/stupid/silly/fickle/ignorant/imprudent, want of judgement, folly, light or witted, to become unwise, lose the mind, deem anyone foolish, destroy, deny miserably, levity, one who is foolish.safiha vb. (1) perf. act. 2:130n.vb. safah 6:140n.vb. safahah 7:66, 7:67safih n.m. (pl. sufaha) 2:13, 2:13, 2:142, 2:282, 4:5, 7:155, 72:4LL, V4, p:100,101"
Siin-Fa-Ha ," to shed/flow, outpoured/spilled, musafihun - one who commits fornication or adultery, take unlawfully (women). saffaha - to work without profit.safaha vb. (1) pcple. pass. 6:145safaha vb. (3) pcple. act. 4:24, 4:25, 5:5LL, V4, p:93"
Siin-Fa-Kaf ," to shed/pour.safaka vb. (1) impf. act. 2:30, 2:84LL, V4, p:98"
Siin-Fa-Lam ," to be low/lower/lowest, mean/despicable/vile/base/inferior, nethermost, downward, below.safil n.m. (adj. comp.asfal) 95:5, 4:145, 8:42, 9:40, 11:82, 15:74, 33:10, 37:98, 41:29, 95:5LL, V4, p:98,99"
Siin-Fa-Nun ," to sculpture, cut, hew, pare. safina'tun - boat, ship, bark, ark as it cleaves, slits, tears the water.safinah n.f. 18:71, 18:79, 18:79, 29:15LL, V4, p:99,100"
Siin-Fa-Ra ," to scribe, sweep, disperse, separate, depart, travel, set out on a journey, shine (dawn), subside, unveil, dispel (the clouds), write.asfar n.m. (pl. of sifr) 62:5safar n.m. (pl. asfar) 2:184, 2:185, 2:283, 4:43, 5:6, 9:42, 18:62, 34:19safarah n.m. (pl. of safir) 80:15asfara vb. (4) perf. act. 74:34pcple. act. 80:38LL, V4, p:94,95,96"
