Root,Meanings
Tay-Ayn-Miim ," ate/taste/swallowed, to flavour/savour, appetite/desire, to feed/supply, way of eating, food/meal, cultivate, ripened fruit, an approvable quality in a man (e.g. intelligence/prudence/discretion), good state/condition in respect of food, one who feeds much, place of eating.ta'ima vb. (I)perf. act. 5:93, 33:53impf. act. 2:249, 6:138, 6:145n. vb. 47:15pcple. act. 6:145taAAm n. m. -2:61, 2:184, 2:259, 3:93, 5:5, 5:5, 5:75, 5:95, 5:96, 12:37, 18:19, 21:8, 25:7, 25:20, 33:53, 44:44, 69:34, 69:36, 73:13, 76:8, 80:24, 88:6, 89:18, 107:3at'ama vb. -perf. act. 36:47, 106:4impf. act. 5:89, 6:14, 26:79, 36:47, 51:57, 74:44, 76:8, 76:9impv. 22:28, 22:36impv. pass. 6:14n. vb. 5:89, 58:4, 90:14istat'ama vb. (X) - perf. act. 18:77Lane's Lexicon, Volume 5, pages: 138,139,140"
Tay-Ayn-Nun ," to thrust, defame/discredit, to speak ill of someone, traducing, assail, revile, scoff, pierce, spear, wound, calumniate.ta'ana vb. (1)perf. act. 9:12n. vb. 4:46Lane's Lexicon, Volume 5, pages: 140,141"
Tay-Ba-Ayn ," to seal/imprint/print/stamp/impress/brand/fashion, make to be dirty, rusted, covering over a thing and securing oneself from a thing entering it, adaptation/disposition to a thing, become sluggish/lazy/indolent, to disgrace/dishonour, to have no penetrative energy, i.e. no sharpness of mind like the sword covered with much rust, load well/heavily, tabba'a - to impress strongly.taba'a vb. (1)perf. act. 4:155, 9:93, 16:108, 47:16impf. act. 7:100, 7:101, 10:74, 30:59, 40:35perf. pass. 9:87, 63:3Lane's Lexicon, Volume 5, pages: 108,109"
Tay-Ba-Qaf ," to cover/overwhelm, to make a thing match/conform/suit/correspond/agree with another thing, to hit/get right, become accustomed/habituated, a thing that is equal of another thing of any kind in its measure so that it covers the whole extent of the latter like the lid, tibaqun - fittings, adapting, in order one above another, stages, layers, stories, series, plane, floors, stratum.tabaq n.m. 84:19, 84:19tibaq n.f. (pl. of tabaqah) 67:3, 71:15Lane's Lexicon, Volume 5, pages: 109,110,111,112,113"
Tay-Fa ," to be near, be within reach, raise, taffafa - to give a deficient measure, redundance of a measure, tatfif (II) - giving short measure, to default in one's duty, mutaffifin - one who gives short measure or defaults in one's duty, stinter/niggardly. Make defective/deficient.taffafa vb. (2) - pcple. act. m. plu. 83:1Lane's Lexicon, Volume 5, pages: 142,143"
Tay-Fa-Alif/Waw ," to extinguish / to put out / to quench - (e.g. fire/light).atfa'a vb. (4) - perf. act. 5:64impf. act. 9:32, 61:8Lane's Lexicon, Volume 5, pages: 143,144"
Tay-Fa-Lam ," baby/infant/child, to be of tenderage, young one, tiny baby, tender/soft.The sun rose/set (red/orange sky).tifl n. m., sing. - 22:5, 40:67, atfal/tiflun plu. 24:31, 24:59Lane's Lexicon, Volume 5, pages: 144,145,146"
Tay-Fa-Qaf ," begin/start to do something, to take to doing something, to set about, commence/initiate, continue uninterruptedly.tafiqa vb. (I) - perf. act. 7:22, 20:121, 38:33Lane's Lexicon, Volume 5, pages: 144"
Tay-Ghayn-Ya ," exceed a limit, to transgress, wander from its orbit, exceed the bound, wayward, to rise high, to overflow, to rage, go astray, deviate, be incurious, mischievous, impious, tyrannical, inordinate, rebellious, exorbitant, exceedingly wicked, insolence, injustice, infidelity, rebellion, storm of thunder & lightning of extreme severity, outburst, powers of evil, lead to evil, be overbold, contumacy, extravagantly disobedient, immoderate, corrupt, top or upper part of a mountain, idol/demon, source of wickedness.taghiya vb. (1) - perf. act. 20:24, 20:43, 53:17, 69:11, 79:17, 79:37, 89:11impf. act. 11:112, 20:45, 20:81, 55:8, 96:6n. vb. 2:15, 5:64, 5:68, 6:110, 7:186, 10:11, 17:60, 18:80, 23:75pcple. act. 37:30, 38:55, 51:53, 52:32, 53:52, 68:31, 68:31, 78:22taghiyah n. f. -69:5taghut n. m. -2:256, 2:257, 4:51, 4:60, 4:76, 5:60, 16:36, 39:17taghwa n. f. -91:11atgha vb. (4) - perf. act. 50:27]Lane's Lexicon, Volume 5, pages: 141,142"
Tay-hasee 20:1 ," according to some sources it is a meaningful expression on its own signifying ""O man!"" (found in Abyssinian/Syriac/Nabathaean) synonymously ""Ya rajulu"", in dialect of Akks, an old Arab tribe, it means ""Ya habibi"" (O my beloved! O great man! O perfect man!), by some the expression is interpreted as ""Be you at rest"" or ""Be thou still"".Lane's Lexicon, Volume 5, pages: 171"
