Root,Meanings
Tha-Ayn-Ba ," to cause to flow, give bent to.thu'ban n.m. 7:107, 26:32Lane's Lexicon, Volume 1, pages:  374"
Tha-Ba-Ra ," to keep back, lose, perish, disappoint, expel, curse, destroy.thabara vb. (1)n.vb. 25:13, 25:14, 25:14, 84:11pcple. pass. 17:102Lane's Lexicon, Volume 1, pages:  367"
Tha-Ba-Ta ," to be firm/steadfast/constant/established, remain in (a place), preserve in doing. thabbata - to strengthen/fasten/consolidate. thubuut - steadfastness, stability, firmly planted. thaabit - remaining firmly fixed, firm, steadfast. thabbata - to confirm/establish, steadfast. tathbiit - confirmation, establishment. athbataa - to confirm, keep in bonds, confine, restrain (from doing a deed).thabata vb. (1)impv. 8:45n.vb. 16:94pcple. act. 14:24, 14:27thabbata vb. (2)perf. act. 17:74impf. act. 8:11, 11:120, 14:27, 16:102, 25:32, 47:7impv. 2:250, 3:147,8:12n.vb. 2:265, 4:66athbata vb. (4) impf. act. 8:30, 13:39Lane's Lexicon, Volume 1, pages:  365,366,367"
Tha-Ba-Tay ," to make someone pause, to hold back, to hinder/prevent/divert, hold anyone without respite, lag behind, make slothful.thabbata vb. (2) perf. act. 9:46Lane's Lexicon, Volume 1, pages: 367,368"
Tha-Ba-Ya ," to collect/congregate/gather, put together, complete. thubaat (acc. pl. of thubatun, which is the f. of thuban/thubayun) - in separate companies, groups, detachments, parties. Many nouns in the f. sing. as here lose their third radical when it is ha/waw/ya.thubat n.f. (pl. of thubah) 4:71Lane's Lexicon, Volume 1, pages:  368,369"
Tha-Jiim-Jiim," to flow.thajjaj n.m. (adj.) 78:14Lane's Lexicon, Volume 1, pages:  369"
Tha-Kh-Nun ," to be thick, become coarse, stiff, subdue thoroughly, have a regular fighting, cause much slaughter, have a triumphant war. athkhana - to do something great, make much slaughter, overcome, battle strenuously.athkhana vb. (4)perf. act. 47:4impf. act. 8:67Lane's Lexicon, Volume 1, pages: 369,370"
Tha-Lam-Lam ," to scatter people, rush upon, have plenty of wool.thullah n.f. 56:13, 56:39, 56:40Lane's Lexicon, Volume 1, pages:  382,383"
Tha-Lam-Tha ," to make a third part of a thing, one third, by threes.thalathah n. num. 2:196, 2:228, 3:41, 3:124, 4:171, 5:73, 5:89, 9:118, 11:65, 18:22, 18:25, 19:10, 24:58, 24:58, 39:6, 56:7, 58:7, 65:4, 77:30thalathun n. num. 7:142, 46:15thalith n. num. 5:73, 36:14, 53:20thulath n. num. 4:3, 35:1thulth n. num. 4:11, 4:11, 4:12, 4:176, 73:20, 73:20Lane's Lexicon, Volume 1, pages:  384,385,386"
Tha-Miim-Dal," name of an ancient tribe which lived in the western parts of Arabia. Thought to have descended from the tribe of Aad.thamud n.prop. 7:73, 9:70, 11:61, 11:68, 11:68, 11:95, 14:9, 17:59, 22:42, 25:38, 26:141, 27:45, 29:38, 38:13, 40:31, 41:13, 41:17, 50:12, 51:43, 53:51, 54:23, 69:4, 69:5, 85:18, 89:9, 91:11Lane's Lexicon, Volume 1, pages: 389"
Tha-Miim-Miim ," to pick up, collect, repair, heap up (thing in a place). thamma - over there, here, in that direction, there in, thither. thumma - then, afterwards, moreover, mostly used as a conjunction indicating a sequence in line or order to be rendered as then/thereafter, also used as a more simple conjunction - and.e.g. 2:115, 26:64, 76:20, 81:21Tha-Miim-Nuun "
Tha-Miim-Ra ," to bear fruit, fructify, get rich, increase. thamar - fruit, wealth, possession, profit, income.thamarah n.f. (pl. thamar) 2:22, 2:25, 2:126, 2:155, 2:266, 6:99, 6:141, 7:57, 7:130, 13:3, 14:32, 14:37, 16:11, 16:67, 16:69, 18:34, 18:42, 28:57, 35:27, 36:35, 41:47, 47:15athmara vb. (4) perf. act. 6:99, 6:141Lane's Lexicon, Volume 1, pages: 390"
