Root,Meanings
Waw-Alif-Dal ," to bury alivewa'ada vb. (1)pcple. pass. f. 81:8Lane's Lexicon, Volume 8, pages: 167,168"
Waw-Alif-Lam ," to seek refuge, find escape, seek shelter.maw'il n.m. 18:58Lane's Lexicon, Volume 8, pages:302"
Waw-Ayn-Dal ," to promise, give one's word, threaten, promise good, threaten (depending on context).wa'ada vb. (1)perf. act. 3:194, 4:95, 5:9, 7:44, 7:44, 9:68, 9:72, 9:77, 9:114, 14:22, 14:22, 19:61, 22:72, 24:55, 28:61, 33:12, 33:22, 36:52, 40:8, 43:42, 48:20, 48:29, 57:10impf. act. 2:268, 2:268, 4:120, 4:120, 7:70, 7:77, 8:7, 10:46, 11:32, 13:40, 17:64, 20:86, 23:35, 23:95, 35:40, 40:28, 40:77, 46:17, 46:22impv. 17:64perf. pass. 13:35, 23:83, 25:15, 27:68, 47:15impf. pass. 6:134, 19:75, 21:103, 21:109, 23:36, 23:93, 26:206, 36:63, 38:53, 41:30, 43:83, 46:16, 46:35, 50:32, 51:5, 51:22, 51:60, 70:42, 70:44, 72:24, 72:25, 77:7n. vb. 3:152, 4:122, 9:111, 10:4, 10:48, 10:55, 11:45, 11:65, 13:31, 14:22, 14:47, 16:38, 17:5, 17:5, 17:7, 17:104, 17:108, 18:21, 18:98, 18:98, 19:54, 19:61, 20:86, 21:9, 21:38, 21:97, 21:104, 22:47, 25:16, 27:71, 28:13, 28:61, 30:6, 30:6, 30:60, 31:9, 31:33, 34:29, 35:5, 36:48, 39:20, 39:74, 40:55, 40:77, 45:32, 46:16, 46:17, 67:25, 73:18pcple. pass. 85:2maw'id n.m. (f. in 9:114), 11:17, 11:81, 15:43, 18:48, 18:58, 18:59, 20:58, 20:59, 20:86, 20:87, 20:97, 54:46mi'ad n.m. 3:9, 3:194, 8:42, 13:31, 34:30, 39:20wa'id n.m. 14:14, 20:113, 50:14, 50:20, 50:28, 50:45wa'ada vb. (3)perf. act. 2:51, 7:142, 20:80impf. act. 2:235aw'ada vb. (4)impf. act. 7:86tawa'ada vb. (6) perf. act. 8:42Lane's Lexicon, Volume 8, pages: 206,207"
Waw-Ayn-Ya ," to preserve in the memory, keep in mind, retain, contain, collect, understand, learn, pay attention, recover ones senses, store up.wa'a vb. (1)impf. act. 69:12pcple. act. f. 69:12wi'a n.m. (pl. awiyah) 12:76, 12:76, 12:76aw'a vb. (4)perf. act. 70:18impf. act. 84:23Lane's Lexicon, Volume 8, pages: 310"
Waw-Ayn-Za ," to admonish, exhort, preach, advise,  warn, remind of that which should soften the heart by the mention of reward or punishment, give good advice or counsel, remind of the result of affairs, exhort which leads to repentance and reformation.wa'aza vb. (1) perf. act. 26:136impf. act. 2:231, 4:58, 7:164, 11:46, 16:90, 24:17, 31:13, 34:46impv. 4:34, 4:63impf. pass. 2:232, 4:66, 58:3, 65:2pcple. act. 26:136maw'izah n.f. 2:66, 2:275, 3:138, 5:46, 7:145, 10:57, 11:120, 16:125, 24:34Lane's Lexicon, Volume 8, pages: 207"
Waw-Ba-Lam ," to pour forth, rain to in large drops, pursue eagerly.wabal n.m. 5:95, 59:15, 64:5, 65:9wabil n.m. 2:264, 2:265, 2:265wabeelan 73:16Lane's Lexicon, Volume 8, pages:302"
Waw-Ba-Qaf ," to perish/destroy/wreck/ruin, place of destruction, gulf (of doom).mawbiq n.m. 18:52awbaqa vb. (4) impf. act. 42:34"
Waw-Ba-Ra ," to have soft hair, stay in a place.awbar n.m. (pl. of wabar) 16:80Lane's Lexicon, Volume 8, pages: 169,170"
Waw-Dal-Ayn ," to leave/depart/forsake/overlook/disregard, place/deposit.wada'a vb. (1) impv. 33:48mustawada n.m. 6:98, 11:6wadda'a vb. (2) perf. act. 93:3Lane's Lexicon, Volume 8, pages:305"
Waw-Dal-Dal ," to love, wish for, desire, be fond of, will, long.wadda vb. (1) perf. act. 2:109, 3:69, 3:118, 4:89, 4:102, 60:2, 68:9impf. act. 2:96, 2:105, 2:266, 3:30, 4:42, 8:7, 15:2, 33:20, 70:11n. vb. 19:96mawaddah n.f. 4:73, 5:82, 29:25, 30:21, 42:23, 60:1, 60:1wadd n. prop. 71:23wadud n.m. 11:90, 85:14wadda vb. (3) impf. act. 58:22Lane's Lexicon, Volume 8, pages: 185,186"
Waw-Dal-Qaf ," to drop (rain), approach (rain), drizzle, any kind of rain (heavy or light).wadq n.m. 24:43, 30:48Lane's Lexicon, Volume 8, pages:305"
Waw-Dal-Ya ," to pay the blood money, pay a fine as expiation for human life, compensate for murder.diyah n.f. 4:92, 4:92wadi (pl. awdiyah) 9:121, 13:17, 14:37, 20:12, 26:225, 27:18, 28:30, 46:24, 79:16, 89:9Lane's Lexicon, Volume 8, pages:305"
Waw-Dhal-Ra ," to leave/forsake/neglect, fall upon, wound, cut in slices, let, desist.wadhara vb. (1) impf. act. 2:234, 2:240, 3:179, 4:129, 6:110, 7:70, 7:127, 7:127, 7:186, 10:11, 19:72, 20:106, 21:89, 26:166, 37:125, 51:42, 71:23, 71:23, 71:26, 71:27, 74:28, 75:21, 76:27impv. 2:278, 6:70, 6:91, 6:112, 6:120, 6:137, 7:73, 7:180, 9:86, 11:64, 12:47, 15:3, 23:54, 40:26, 43:83, 48:15, 52:45, 62:9, 68:44, 70:42, 73:11, 74:11Lane's Lexicon, Volume 8, pages: 187"
Waw-Dad-Ayn ," he put it or laid it in/on a place, put it or threw it down from his hand, opposite of Ra-Fa-Ayn, put down a thing, brought forth, to appoint, to impose/remit, give over, relinquish, lowered his grade/rank/condition, suffer loss, did not gain in it, lowered/humbled, depository, the proper place of a thing.wada'a vb. (1) perf. act. 3:36, 3:36, 3:36, 46:15, 55:7, 55:10, 94:2impf. act. 4:102, 7:157, 21:47, 22:2, 24:58, 24:60, 35:11, 41:47, 47:4, 65:4, 65:6perf. pass. 3:96, 18:49, 39:69pcple. pass. 88:14mawadai n.m. (pl. mawdi) 4:46, 5:13, 5:41awda'a vb. (4) perf. act. 9:47Lane's Lexicon, Volume 8, pages: 309,310"
Waw-Dad-Nun ," to plate or fold a thing with one part over another, interwove, encrust, inlay (with gold and precious jewels).wadana vb. (1) pcple. pass. 56:15Lane's Lexicon, Volume 8, pages: 310"
Waw-Fa-Dal ," to call upon, come to, reach.wafada vb. (1) n.vb. wafd 19:85Lane's Lexicon, Volume 8, pages: 209"
Waw-Fa-Dad ," to hasten/run.awfada vb. (4) impf. act. yufidu 70:43Lane's Lexicon, Volume 8, pages: 211"
Waw-Fa-Qaf ,"to reconciliate, to find suitable/fit/useful.waffaqa vb. (2) impf. act. 4:35n.vb. 4:62, 11:88wafaqa vb. (3) n. vb. 78:26Lane's Lexicon, Volume 8, pages: 311"
Waw-Fa-Ra ," to be plentiful, copious/numerous/ample, increase.wafara vb. (1) pcple. pass. 17:63Lane's Lexicon, Volume 8, pages: 209,210"
Waw-Fa-Ya ," to reach the end, keep ones promise, fulfil ones engagement, pay a debt, perform a promise. tawaffa - to die. wafaat - death.wafiy n.m. (adj. comp. awfa) 9:111, 53:41waffa vb. (2)perf. act. 24:39, 53:37impf. act. 3:57, 4:173, 11:15, 11:111, 24:25, 35:30, 46:19perf. pass. 3:25, 39:70impf. pass. 2:272, 2:281, 3:161, 3:185, 8:60, 16:111, 39:10pcple. act. 11:109awfa vb. (4)perf. act. 3:76, 48:10impf. act. 2:40, 12:59, 13:20, 22:29, 76:7impv. 2:40, 5:1, 6:152, 6:152, 7:85, 11:85, 12:88, 16:91, 17:34, 17:35, 26:181pcple. act. 2:177tawaffa vb. (5)perf. act. 4:97, 5:117, 6:61, 47:27impf. act. 4:15, 6:60, 7:37, 8:50, 10:46, 10:104, 13:40, 16:28, 16:32, 16:70, 32:11, 39:42, 40:77impv. 3:193, 7:126, 12:101impf. pass. 2:234, 2:240, 22:5, 40:67pcple. act. 3:55istawafa vb. (10) impf. act. 83:2Lane's Lexicon, Volume 8, pages: 311"
Waw-ha-Ba ," to give/grant/bestow, dedicate, offer as a present/gift.wahaba vb. (1)perf. act. 6:84, 14:39, 19:49, 19:50, 19:53, 21:72, 21:90, 26:21, 29:27, 33:50, 38:30, 38:43impf. act. 19:19, 42:49, 42:49impv. 3:8, 3:38, 19:5, 25:74, 26:83, 37:100, 38:35wahhab n.m. 3:8, 38:9, 38:35Lane's Lexicon, Volume 8, pages: 222,223"
Waw-ha-Jiim ," blazing, brightly burning, glowing, heat, kindle, dazzle.wahhaj n.m. (adj.) 78:13Lane's Lexicon, Volume 8, pages: 224"
