Root,Meanings
Zay-Ayn-Miim ," to assert/claim/allege, the conveyor, to convey, to promise, assertion, responsible/answerable/amenable, to make covet or eagerly desire.zaama vb. (I) - perf. act. 6:94, 17:56, 17:92, 18:48, 18:52, 34:22, 62:6, 64:7impf. act. 4:60, 6:22, 6:94, 28:62, 28:74n. vb. 6:136, 6:138za'im n.m. - 12:72, 68:40Lane's Lexicon, Volume 3, pages: 398,399,400"
Zay-Ba-Dal ," fresh butter, froth/foam/spume/scum, state of commotion of a liquid (e.g. water in a cooking pot), a tumultuous/frothing sea, blossomed, become intensely white.zabad n.m. - 13:17, 13:17, 13:17Lane's Lexicon, Volume 3, pages:375,376"
Zay-Ba-Nun ," pushed/thrust it (a thing) away, remove/withdraw/retire to a distance, simpleton/fool/unintelligent, a tent/house standing apart from others, a side/lateral/adjacent part or tract or quarter, one who pushes/thrusts away, difficult/stubborn war/battle, certain angels (the tormenters of the damned in Hell).zabaniyah n.m. (pl. of zabani, or zabin or zibniyah) - 96:18Lane's Lexicon, Volume 3, pages:379,380"
Zay-Ba-Ra ," case the well, wall internally, construction of one part above another, check/restrain/forbade, prevented/hindered/witheld, write well/skillfully/firmly, read/recite, become large/courageous/brave (man), came forth, stones, understanding/restraint/intellect, a thing written, psalms, Book of David, books of Moses/David/Muhammad together, piece of iron, anvil, upper part of the back, strong/bulky, black mud.zabur n.m. (pl. zubur) - 3:184, 4:163, 16:44, 17:55, 21:105, 26:196, 35:25, 54:43, 54:52zubar n.f. (pl. of zubrah) - 18:96zubur n.f. (pl. of zubrah) - 23:53Lane's Lexicon, Volume 3, pages:376,377"
Zay-Fa-Fa ," to hasten, go quickly, he walked in a comely manner (said of a man), running vehemently.zaffa vb. (I) - impf. act. 37:94Lane's Lexicon, Volume 3, pages:401,402"
Zay-Fa-Ra ," a sigh/sob, draw in breath due to distress, to groan, moan in grief, a sea that makes a roaring, one who carries loads/burdens, calamity/misfortune.zafir n.m. - 11:106, 21:100, 25:12Lane's Lexicon, Volume 3, pages:402,403"
Zay-ha-Dal ," he abstained from it (meaning from something that would gratify the passions or senses), relinquished it, forsook it, shunned it or avoided it, did not desire it, he computed or determined its quantity/measure/size/bulk/proportion/amount/sum/number or computed by conjecture its quantity/amount, become undesired due to littleness/worth, he reckoned it little, to despise, a small quantity, a narrow valley that receives little water.zahada vb. (I)zahid pcple. act. 12:20Lane's Lexicon, Volume 3, pages:426, 427"
Zay-ha-Qaf ," went/passed forth, departed, perished, dying, came to naught, went swiftly.zahaqa vb. (I)perf. act. 17:81impf. act. 9:55, 9:85pcple. act. 21:18zahuq n.m. (adj.) - 17:81Lane's Lexicon, Volume 3, pages:428,429"
Zay-ha-Ra ," shone/glistened, become white/beautiful/bright, to give light, a fire/lamp, flower, flowered/blossomed, mindful of it, rejoice/energetic in it, a want.zahrah n.f. - 20:131Lane's Lexicon, Volume 3, pages:427,428"
Zay-Ha-Fa ," a company of men walked/marched or went on foot, crept/crawled along, walked leisurely/gently or little by little, to drag, become fatigued.zahafa vb. (I)zahf n. vb. - 8:15Lane's Lexicon, Volume 3, pages:385,386"
Zay-Ha-Zay-Ha ," to remove, remove/push/thrust away, become far away, distant, remote.zahzaha vb. (quad I)zuhziha perf. pass.3:185muzahzih pcple. act. 2:96Lane's Lexicon, Volume 3, pages:384"
Zay-Jiim-Jiim ," to pierce/thrust/spear, a thing pointed, to cast or throw a thing from oneself, become narrow and long, glass, glass vessels, lamp.zujajah n.f. - 24:35, 24:35Lane's Lexicon, Volume 3, pages:381,382"
Zay-Jim-Ra ," To prohibit, drive away, interdict, chide away, cry out, scare away, rebuke, deter, discourage, repel, restrain, chide by a cry, by voice, or by reproof, check him, restrained him, or forbade him, with rough speech: or prevented, hindered, restrained, or withheld, him: or forbade, or prohibited, him [by any kind of cry or speech].مزدجر muzdajarun - Deterrent [54:4]زجرا zajran (V) - Driving away vigorously [37:2]زجرة zajratun (N) - Single driving shout [37:19; 79:13]وازدجر waizdujira - (and) He was spurned and chided [54:9]فالزاجرات faalzzajirati - (and) Those who drive away [37:2]Lane's Lexicon, Volume 3, pages: 382,383"
Zay-Jiim-Waw ," to drive, to urge on, become in a right state, It (a bad piece of money) passed or had currency, it was or became easy of collection, the acting with penetrative energy and effectiveness in an affair, effect/accomplish it, pushed it gently so it may go on, a small or scanty thing that may be pushed or driven away because of the little account that is made of it, paltry, weak.azja vb. (IV)impf. act. 17:66, 24:43muzjat n.f. 12:88Lane's Lexicon, Volume 3, pages:383,384"
Zay-Kaf-Ra ," to fill a vessel or water skin, become large/full, it (a beverage) became collected, a receptacle for a liquid. Zachariah.zakariya n. prop. - 3:37, 3:37, 3:38, 6:85, 19:2, 19:7, 21:89Lane's Lexicon, Volume 3, pages:405"
Zay-Kaf-Waw ," it increased/augmented, it throve/grew well/flourished/prospered and produced fruit, it was/became pure, purification, goodness/righteousness, lead/enjoy a plentiful/easy/soft/delicate life, put into a good/right state/condition, alms, poor-rate/duezaka vb. (I)perf. act. - 24:21zakat n.f. - 2:43, 2:83, 2:110, 2:177, 2:277, 4:77, 4:162, 5:12, 5:55, 7:156, 9:5, 9:11, 9:18, 9:71, 18:81, 19:13, 19:31, 19:55, 21:73, 22:41, 22:78, 23:4, 24:37, 24:56, 27:3, 30:39, 31:4, 33:33, 41:7, 58:13, 73:20, 98:5zakiy n.m. (adj. comp. azka) - 2:232, 18:19, 18:74, 19:19, 24:28, 24:30zakka vb. (II)perf. act. - 91:9impf. act. - 2:129, 2:151, 2:174, 3:77, 3:164, 4:49, 4:49, 9:103, 24:21, 53:32, 62:2tazakka vb, (V)perf. act. - 20:76, 35:18, 79:18, 87:14impf. act. - 35:18, 80:3, 80:7, 92:18 Lane's Lexicon, Volume 3, pages:406,407"
Zay-Kha-Ra-Fa ," the adorning/decorating/embellishing/ornamenting a thing, anything embellished or varnished with a false colouring, lies, falsifying/adulterating of speech.zukhruf n.m. - 6:112, 10:24, 17:93, 43:35Lane's Lexicon, Volume 3, pages:388,389"
Zay-Lam-Fa ," draw near/close, advance, nearness/closeness/proximityzulfa n.f. (pl. zulaf) - 11:114, 34:37, 38:25, 38:40, 39:3zulfah n.f. (adv.) - 67:27azlafa vb. (IV)perf. act. 26:64uzlifa perf. pass. 26:90, 50:31, 81:13Lane's Lexicon, Volume 3, pages:411,412"
Zay-Lam-Lam ," it moved away or aside, slipped, make a mistake, deficient, pass along / transfer.zalla vb. (I)perf. act. 2:209yazillu impf. act. 16:94azalla vb. (IV) - perf. act. 2:36istazalla vb. (X) - perf. act. 3:155Lane's Lexicon, Volume 3, pages:407,408,409"
