Root,Meanings
Ayn-Ba-Alif ," to care for, be solicitous, hold to be of any weight or worth, attach any weight or value, have concern.aba'a vb. (1) impf. act. 25:77Lane's Lexicon, Volume 5, pages:218"
Ayn-Ba-Dal ," serve, worship, adore, venerate, accept the impression of a thing, obey with submissiveness or humility, approve, apply, devote, obedience, slave, keep to inseparably, subdue, assemble together, enslave.abada vb. (1)perf. act. 5:60, 16:35, 43:20, 109:4impf. act. 1:5, 2:83, 2:133, 2:133, 2:172, 3:64, 5:76, 6:56, 7:70, 9:31, 10:18, 10:28, 10:104, 10:104, 10:104, 11:2, 11:26, 11:62, 11:62, 11:87, 11:109, 11:109, 11:109, 12:40, 12:40, 13:36, 14:10, 14:35, 16:73, 16:114, 17:23, 18:16, 19:42, 19:44, 19:49, 21:66, 21:67, 21:98, 22:11, 22:71, 24:55, 25:17, 25:55, 26:70, 26:71, 26:75, 26:92, 27:43, 27:91, 28:63, 29:17, 29:17, 34:40, 34:41, 34:43, 36:22, 36:60, 37:22, 37:85, 37:95, 37:161, 39:3, 39:11, 39:14, 39:17, 39:64, 40:66, 41:14, 41:37, 43:26, 46:21, 51:56, 60:4, 98:5, 106:3, 109:2, 109:2, 109:3, 109:5impv. 2:21, 3:51, 4:36, 5:72, 5:117, 6:102, 7:59, 7:65, 7:73, 7:85, 10:3, 11:50, 11:61, 11:84, 11:123, 15:99, 16:36, 19:36, 19:65, 20:14, 21:25, 21:92, 22:77, 23:23, 23:32, 27:45, 29:16, 29:17, 29:36, 29:56, 36:61, 39:2, 39:15, 39:66, 43:64, 53:62, 71:3impf. pass. 43:45n.vb. 4:172, 7:206, 10:29, 18:110, 19:65, 19:82, 21:19, 40:60, 46:6pcple. act. 2:138, 9:112, 21:53, 21:73, 21:84, 21:106, 23:47, 43:81, 66:5, 109:3, 109:4, 109:5abd n.m. (pl. ibad/abid) 2:23, 2:90, 2:178, 2:178, 2:186, 2:207, 2:221, 3:15, 3:20, 3:30, 3:79, 3:182, 4:118, 4:172, 5:118, 6:18, 6:61, 6:88, 7:32, 7:128, 7:194, 8:41, 8:51, 9:104, 10:107, 12:24, 14:11, 14:31, 15:40, 15:42, 15:49, 16:2, 16:75, 17:1, 17:3, 17:5, 17:17, 17:30, 17:53, 17:65, 17:96, 18:1, 18:65, 18:65, 18:102, 19:2, 19:30, 19:61, 19:63, 19:93, 20:77, 21:26, 21:105, 22:10, 23:109, 24:32, 25:1, 25:17, 25:58, 25:63, 26:52, 27:15, 27:19, 27:59, 28:82, 29:56, 29:62, 30:48, 34:9, 34:13, 34:39, 35:28, 35:31, 35:32, 35:45, 36:30, 37:40, 37:74, 37:81, 37:11, 37:122, 37:128, 37:132, 37:160, 37:169, 37:171, 38:17, 38:30, 38:41, 38:44, 38:45, 38:83, 39:7, 39:10, 39:16, 39:16, 39:17, 39:36, 39:46, 39:53, 40:15, 40:31, 40:44, 40:48, 40:85, 41:46, 42:19, 42:23, 42:25, 42:27, 42:27, 42:52, 43:15, 43:19, 43:59, 43:68, 44:18, 44:23, 50:8, 50:29, 53:10, 54:9, 57:9, 66:10, 50:11, 66:10, 71:27, 72:19, 76:6, 89:29, 96:10abbada vb. (2) perf. act. 26:22Lane's Lexicon, Volume 5, pages:219,220,221"
Ayn-Ba-Qaf-Ra ," great, excellent, beautiful, fine, of finest quality, chief, glittering, surpassing, surpassingly efficient, extraordinary, superior, pre-eminent, superseding, quick-witted, expert, vigorous, effective, magnificent, grand, sublime, high, exalted, dignified, learned, perfect, accomplished, mighty/powerful/strong, rich carpet, garment splendidly manufactured, variegated cloth, garment of silk, brocade, thing that surpasses every other thing. (there is no other word in Arabic to indicate the fine of finest quality)abqariy n.m. 55:76Lane's Lexicon, Volume 5, pages:225"
Ayn-Ba-Ra ," to cross, interpret, state clearly, pass over. i'tabara - to consider, ponder over, take into account, get experience from, take warming. abratun (pl. i'bar) -  regard/consideration, admonition, warning, example, instructive warning. abir (pl. abirina) - one who passes over. i'tabara - to take warning, learn a lesson.abara vb. (1)impf. act. 12:43pcple. act. 4:43ibrah n.f. 3:13, 12:111, 16:66, 23:21, 24:44, 79:26itabara vb. (8) impv. 59:2Lane's Lexicon, Volume 5, pages:221,222,223,224"
Ayn-Ba-Siin ," to frown, look sternly, austere, grim.abasa vb. (1) perf. act. 74:22, 80:1abus n.m. 76:10Lane's Lexicon, Volume 5, pages:224"
Ayn-Ba-Th ," to play sport in a frivolous manner, amuse one's self, busy one's self about trifles, in vain/sport/play, nonsense, useless.abatha vb. (1)impf. act. 26:128n.vb. 23:115Lane's Lexicon, Volume 5, pages:218,219"
Ayn-Dal-Dal ," to count, number, reckon, make the census of. addun - number, computation, determined number. adadun - number. iddatun - a number, prescribed term, counting, to count, legal waiting period for a woman after she is divorced or becomes a widow before she may marry again. a'dd - to prepare, make ready. addina - those who count. ma'dudun - counted one.adda vb. (1)perf. act. 19:94impf. act. 14:34, 16:18, 19:84, 22:47, 32:5, 38:62n.vb. 19:84, 19:94pcple. act. 23:113pcple. pass. 2:80, 2:184, 2:203, 3:24, 11:8, 11:104, 12:20adad n.m. 10:5, 17:12, 18:11, 23:112, 72:24, 72:28iddah n.f. 2:184, 2:185, 2:185, 9:36, 9:37, 18:22, 33:49, 65:1, 65:1, 65:4, 74:31uddah n.f. 9:46addada vb. (2) perf. act. 104:2a'adda vb. (4)perf. act. 4:93, 4:102, 9:46, 9:89, 9:100, 33:8, 33:29, 33:35, 33:44, 33:57, 33:64, 48:6, 58:15, 65:10, 76:31impv. 8:60perf. pass. 2:24, 3:131, 3:133, 57:21i'tadda vb. (8) impf. act. 33:49Lane's Lexicon, Volume 5, pages:254,255,256,257"
Ayn-Dal-Lam ," to act and deal justly, equitably, with fairness and proportion, adjust properly as to relative magnitude, establish justice, hold as equal, pay as an aquivalent, dispose aright, straighten, deviate from the right path, turn aside, stray from. adlun - justice, equity, accuracy, recompense, ransom, equivalent, compensation, instead (thereof).adala vb. (1)perf. act. 82:7impf. act. 4:3, 4:129, 4:135, 5:8, 6:1, 6:70, 6:150, 7:159, 7:181, 27:60, 42:15impv. 5:8, 6:152adl n.m. 2:48, 2:123, 2:282, 2:282, 4:58, 5:95, 5:95, 5:106, 6:70, 6:115, 16:76, 16:90, 49:9, 65:2Lane's Lexicon, Volume 5, pages:257,258,259,260"
Ayn-Dal-Nun ," to abide constantly, stay in (a place), remain, everlasting.adn n. 9:72, 13:23, 16:31, 18:31, 19:61, 20:76, 35:33, 38:50, 40:8, 61:12, 98:8Lane's Lexicon, Volume 5, pages:261,262"
Ayn-Dal-Siin ," to toil, tend (a flock), treat (a thing). adasa fi ard - to journey. udisa - to have red pimples. adasun - lentils.adas n.m. 2:61Lane's Lexicon, Volume 5, pages:257"
Ayn-Dal-Waw ," to pass by, overlook, transgress, turn aside.adwun - wickedly, unjustly, spitefully, wrongfully.adi'yat - companies of warriors, chargers, horses of the warriors, wayfarers who run fast on their journey, swift horses.aduwatun - enmity. udwan - hostility, injustice. aduwwan (pl. aduwun) - enemy.ada vb. (1)impf. act. 4:154, 7:163, 18:28n.vb. 6:108, 10:90pcple. act. 2:173, 6:145, 16:115, 23:7, 26:166, 70:31adawah n.f. 5:14, 5:64, 5:82, 5:91, 41:34, 60:4adiyah n.f. (pl. adiyat) 100:1aduw n.m. (pl. a'da) 2:36, 2:97, 2:98, 2:98, 2:168, 2:208, 3:103, 4:45, 4:92, 4:101, 6:112, 6:142, 7:22, 7:24, 7:129, 7:150, 8:60, 8:60, 9:83, 9:114, 9:120, 12:5, 17:53, 18:50, 20:39, 20:80, 20:117, 20:123, 25:31, 26:77, 28:8, 28:15, 28:15, 28:15, 28:19, 35:6, 35:6, 36:60, 41:19, 41:28, 43:62, 43:67, 46:6, 60:1, 60:1, 60:2, 61:14, 63:4, 64:14udwah n.f. 8:42, 8:42udwan n.m. 2:85, 2:193, 4:30, 5:2, 5:62, 28:28, 58:8, 58:9ada vb. (3) perf. act. 60:7ta'adda vb. (5) impf. act. 2:229, 4:14, 65:1itada vb. (8)perf. act. 2:65, 2:178, 2:194, 2:194, 5:94, 5:107impf. act. 2:61, 2:190, 2:229, 2:231, 3:112, 5:2, 5:78, 5:87impv. 2:194pcple. act. 2:190, 5:87, 6:119, 7:55, 9:10, 10:74, 50:25, 68:12, 83:12Lane's Lexicon, Volume 5, pages:262,263,264,265,266"
Ayn-Thal-Ba ,"   chastisement, castigate, punishment, torture, torment, retribution, abstain/desist,   relinquish, quit.adhb - sweet (usually water), e.g. 25:53, 35:12.adhab n.m. 2:7, 2:10, 2:49, 2:85, 2:86, 2:90, 2:96, 2:104, 2:114, 2:126, 2:162, 2:165, 2:165, 2:166, 2:174, 2:175, 2:178, 2:201, 3:4, 3:16, 3:21, 3:56, 3:77, 3:88, 3:91, 3:105, 3:106, 3:176, 3:177, 3:178, 3:181, 3:188, 3:188, 3:191, 4:14, 4:18, 4:25, 4:37, 4:56, 4:93, 4:102, 4:138, 4:147, 4:151, 4:161, 4:173, 5:33, 5:36, 5:36, 5:37, 5:41, 5:73, 5:80, 5:94, 5:115, 6:15, 6:30, 6:40, 6:47, 6:49, 6:65, 6:70, 6:93, 6:124, 6:157, 7:38, 7:39, 7:59, 7:73, 7:141, 7:156, 7:164, 7:165, 7:167, 8:14, 8:32, 8:35, 8:50, 8:68, 9:3, 9:34, 9:39, 9:52, 9:61, 9:68, 9:74, 9:79, 9:90, 9:101, 10:4, 10:15, 10:50, 10:52, 10:54, 10:70, 10:88, 10:97, 10:98, 11:3, 11:8, 11:20, 11:26, 11:39, 11:39, 11:48, 11:58, 11:64, 11:76, 11:84, 11:93, 11:103, 12:25, 12:107, 13:34, 13:34, 14:2, 14:6, 14:7, 14:17, 14:21, 14:22, 14:44, 15:50, 15:50, 16:26, 16:45, 16:63, 16:85, 16:88, 16:88, 16:94, 16:104, 16:106, 16:113, 16:117, 17:10, 17:57, 17:57, 17:58, 18:55, 18:58, 18:87, 19:45, 19:75, 19:79, 20:48, 20:61, 20:71, 20:127, 20:134, 21:46, 22:2, 22:4, 22:9, 22:18, 22:22, 22:25, 22:47, 22:55, 22:57, 23:64, 23:76, 23:77, 24:2, 24:8, 24:11, 24:14, 24:19, 24:23, 24:63, 25:19, 25:37, 25:42, 25:65, 25:65, 25:69, 26:135, 26:156, 26:158, 26:189, 26:201, 26:204, 27:5, 28:64, 29:10, 29:23, 29:29, 29:53, 29:53, 29:54, 29:55, 30:16, 31:6, 31:7, 31:21, 31:24, 32:14, 32:20, 32:21, 32:21, 33:8, 33:30, 33:57, 33:68, 34:5, 34:8, 34:12, 34:14, 34:33, 34:38, 34:42, 34:46, 35:7, 35:10, 35:36, 36:18, 37:9, 37:33, 37:38, 37:176, 38:8, 38:26, 38:41, 38:61, 39:13, 39:19, 39:24, 39:25, 39:26, 39:40, 39:47, 39:54, 39:55, 39:58, 39:71, 40:7, 40:45, 40:46, 40:49, 41:16, 41:16, 41:17, 41:27, 41:50, 42:16, 42:21, 42:26, 42:42, 42:44, 42:45, 43:39, 43:48, 43:50, 43:65, 43:74, 44:11, 44:12, 44:15, 44:30, 44:48, 44:56, 45:8, 45:9, 45:10, 45:11, 46:20, 46:21, 46:24, 46:31, 46:34, 48:16, 48:17, 48:25, 50:26, 51:37, 52:7, 52:18, 52:27, 52:47, 54:16, 54:18, 54:21, 54:30, 54:37, 54:38, 54:39, 57:13, 57:20, 58:4, 58:5, 58:15, 58:16, 59:3, 59:15, 61:10, 64:5, 65:8, 65:10, 67:5, 67:6, 67:28, 68:33, 68:33, 70:1, 70:11, 70:27, 70:28, 71:1, 72:17, 73:13, 76:31, 78:30, 78:40, 84:24, 85:10, 85:10, 88:24, 89:13, 89:25adhb n.m. 25:53, 35:12adhdhaba vb. (2)perf. act. 9:26, 48:25, 59:3, 65:8impf. act. 2:284, 3:56, 3:128, 3:129, 4:173, 5:18, 5:18, 5:40, 5:115, 5:115, 5:118, 8:33, 8:34, 9:14, 9:39, 9:55, 9:66, 9:74, 9:85, 9:101, 9:106, 17:54, 18:86, 18:87, 18:87, 20:47, 27:21, 29:21, 33:24, 33:73, 48:6, 48:14, 48:16, 48:17, 58:8, 88:24, 89:25pcple. act. 7:164, 8:33, 17:15, 17:58pcple. pass. 26:138, 26:213, 34:35, 37:59Lane's Lexicon, Volume 5, pages:266,267,268"
Ayn-Thal-Ra ," to beg pardon, to excuse, to free anyone from guilt or blame, excuse/plea, those who put forth excuses, apologists.udhr n.m. 18:76, 77:6ma'dhirah n.f. 7:164, 30:57, 40:52, 75:15adhdhara vb. (2) pcple. act. 9:90i'tadhara vb. (8) impf. act. 9:66, 9:94, 9:94, 66:7, 77:36Lane's Lexicon, Volume 5, pages:268,269,270,271,272"
Ayn-Dad-Dal ," to aid/assist/support, succour, strike on the arm, supporter, upper arm, helper, stay, side, assistance, strength.adud n.m. 18:51, 28:35Lane's Lexicon, Volume 5, pages: 254, 255, 256, 257"
Ayn-Dad-Dad ," to bite the hands in sorrow, seize with the teeth.adda vb. (1)3:119impf. act. 25:27Lane's Lexicon, Volume 5, pages: 354, 355, 356"
Ayn-Dad-Lam ," to straighten, withhold unjustly, prevent, hinder. adala vb. (1) impf. act. 2:232, 4:19Lane's Lexicon, Volume 5, pages: 359, 360"
Ayn-Dad-Waw ," to divide into parts, separate parts, bits, enchantments, lies, slanders.idah n.f. (pl. idun) 15:91Lane's Lexicon, Volume 5, pages: 361, 362"
Ayn-Fa-Fa ," to abstain from what is unlawful, be abstinent, restrain. (The verb is of the assimilated type. In genitive cases shadda is removed and cluster is pronounced separelt as in 4:6 ta'affuf - modest/abstinence)ta'affafa vb. (5) n.vb. 2:273ista'affa vb. (10)3rd. m. sing. impf. act. 4:6, 24:33, f. pl. acc. 24:60Lane's Lexicon, Volume 5, pages: 373, 374"
