Root,Meanings
Ba-Alif-Ra ," sunk/dug, hollow/hole, hid/conceal it, stored it for time of   need, well.bir n.f.22:45Lane's Lexicon, Volume 1, pages:182"
Ba-Alif-Siin   ," mighty/strong, distress/misfortune/calamity, state of poverty, evil/bad, very   evil, feigned lowliness/submissiveness, punishment, state of trial/affliction,   courage/valour/prowess.ba'isa vb. (1)pcple. act. 22:28bi'sa vb. (1) A unique type of verb which is not conjugated, belonging to a family of verbs known as the ""verbs of praise and blame"". Note the vocalisation is also changed from fa'ala to fi'la.perf. act. 2:90, 2:93, 2:102, 2:126, 2:206, 3:12, 3:151, 3:162, 3:187, 3:197, 5:62, 5:63, 5:79, 5:80, 7:150, 8:16, 9:73, 11:98, 11:99, 13:18, 14:29, 16:29, 18:29, 18:50, 22:13, 22:13, 22:72, 24:57, 38:56, 38:60, 39:72, 40:76, 43:38, 49:11, 57:15, 58:8, 62:5, 64:10, 66:9, 67:6ba's n.m. 2:177, 4:84, 4:84, 6:43, 6:65, 6:147, 6:148, 7:4, 7:5, 7:97, 7:98, 12:110, 16:81, 17:5, 18:2, 21:12, 21:80, 27:33, 33:18, 40:29, 40:84, 40:85, 48:16, 57:25, 59:14ba'is n.m. 7:165ba'sa n.f. 2:177, 2:214, 6:42, 7:94ibta'asa vb. (8) impf. act. 11:36, 12:69LL, V1, p:183,184"
Ba-Ayn-Dal ,"   Becoming distant,   remote, far off, aloof or far away  Removed, retired, withdrew to a distance  Alienated, estranged, wide separation, great distance  Possessing judgment and prudence, penetrating, effective judgment, depth or   far reaching judgment  Go or going a great length or far in hostility.ba'uda vb. (1)perf. act. 9:42, ba'ida 11:95n.vb. 11:44, 11:60, 11:68, 11:95, 23:41, 23:44, 43:38ba'id n.m. 2:176, 3:30, 4:60, 4:116, 4:136, 4:167, 11:83, 11:89, 14:3, 14:18, 21:109, 22:12, 22:53, 25:12, 27:22, 34:8, 34:52, 34:53, 41:44, 41:52, 42:18, 50:3, 50:27, 50:31, 70:6ba'ada vb. (3) impv. 34:19ab'ada vb. (4) pcple. pass. 21:101LL, V1, p: 261, 262, 263"
Ba-Ayn-Dad ,"   Gnats, mosquitoes,   bitten, annoyed or molested by gnats or mosquitoes  Dividing into parts or portions, which are distinct or separate from each other  Part or portion  Something or someone  An impossible or difficult thing imposed on someone.ba'udah n.f. 2:26LL, V1, p: 264"
Ba-Ayn-Lam,"Husband, took a   husband or became a wife  People intermarrying with a people  Playful toying between man and wife  Resistance  Obedience to the husband  Lord, master, owner or possessor  Head, chief, ruler or person in authority  Someone whom it is a necessary duty to obey  Lacking strength, power or ability  Elevated land  Palm trees or trees watered only by rain, trees imbibing with roots without   irrigation or rain, a male palm tree  Confounded or perplexed  Baal (pre-Islamic deity, 37:125)?ba'l n.m. (pl. bu'ulah) 2:228, 4:128, 11:72, 24:31, 24:31, 24:31baal 37:125LL, V1, p: 265"
Ba-Ayn-Ra   ," camel.ba'ir n.com.12:65, 12:72LL, V1, p: 263, 264"
Ba-Ayn-Tha ,"   Removal of that   which restrains one from free action  Anything that is sent  Rousing, exciting, putting in motion or motion  Incited, urged, instigated or awoke  Raising/rousing (e.g. of the dead to life)  Sleepless or wakeful  Hastening, quick, swift in going, impelled or propelled.ba'atha vb. (1)perf. act.2:56, 2:213, 2:247, 2:259, 3:164, 5:12, 5:31, 7:103, 10:74, 10:75, 16:36, 17:5, 17:94, 18:12, 18:19, 25:41, 25:51, 36:52, 62:2impf. act.6:36, 6:60, 6:65, 7:167, 16:38, 16:84, 16:89, 17:15, 17:79, 22:7, 28:59, 40:34, 58:6, 58:18, 72:7impv.2:129, 2:246, 4:35, 18:19, 26:36impf. pass.7:14, 15:36, 16:21, 19:15, 19:33, 23:16, 23:100, 26:87, 27:65, 37:144, 38:79, 64:7, 64:7n.vb.22:5, 30:56, 30:56, 31:28pcple. pass.6:29, 11:7, 17:49, 17:98, 23:37, 23:82, 37:16, 56:47, 83:4inba'atha vb. (7)perf. act.91:12n.vb.9:46LL, V1, p: 259, 260"
Ba-Ayn-Tha-Ra   ," scatter abroad, turn upside down, to overthrow.ba'thara vb. (1) perf. pass. 82:4, 100:9"
Ba-Ba-Lam , Babylon.n. 2:102
Ba-Dal-Alif,"   Be first, have   precedence  Began, made beginnings of (something/thought/opinion/idea/military expedition)  Made/produced/created for the first time/originally  Commence/started/originated/brought into existence  Going forth from a land to another/sick person (afflicted with disease)  A new thing/unknown before, invent, Strange and wonderful/unexpected/surprising  Doing it again from the beginning/returning from where you came  Chief/Lord (occupying first place in leadership/chieftainship/lordship  An intelligent youth whose opinion/judgment is good  Share/portion of an animal, or the best share thereof  Man continuing to war/plunder, experienced in affairs.bada'a vb. (1)perf. act.7:29, 9:13, 12:76, 21:104, 29:20, 32:7impf. act.10:4, 10:34, 10:34, 27:64, 30:11, 30:27abda'a vb. (4) impf. act.29:19, 34:49, 85:13LL, V1, p: 200, 201, 202"
